Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE101-02,,,RBR,MON+WED,11:00 AM,10A-08C,"FMK,SDTS",THU,2:00 PM,12F-32L
CSE101-03,,,FDM,SAT+THU,8:00 AM,09A-01C,"FMK,FDM",TUE,11:00 AM,12D-26L
CSE101-04,,,RHS,SAT+THU,9:30 AM,09A-01C,"MOZR,RBR",SUN,11:00 AM,12F-32L
CSE101-05,,,SDTS,SUN+TUE,12:30 PM,10A-08C,"FMK,KHC",SAT,11:00 AM,12F-32L
CSE103-01,,,-,SAT+THU,11:00 AM,,"MHV,RFF",SAT,11:00 AM,FT11-01L
CSE110-01,,,KNI,SUN+TUE,9:30 AM,09C-13C,"SBB,SARF",THU,11:00 AM,09F-27L
CSE110-02,,,KNI,SUN+TUE,11:00 AM,09C-13C,"MSI,ADD",WED,11:00 AM,09B-09L
CSE110-03,,,SBB,MON+WED,8:00 AM,09B-12C,"ANT,UMS",THU,8:00 AM,09B-08L
CSE110-04,,,SBB,MON+WED,2:00 PM,09A-05C,"MZG,FMK",THU,11:00 AM,09B-08L
CSE110-05,,,RBR,MON+WED,2:00 PM,09C-13C,"AOH,HFN",THU,2:00 PM,09B-09L
CSE110-07,,,RKN,MON+WED,11:00 AM,09B-12C,"MZG,AJK",THU,2:00 PM,09B-08L
CSE110-08,,,RKN,MON+WED,12:30 PM,09B-12C,"ASMN,SDTS",THU,11:00 AM,09B-09L
CSE110-09,,,ATY,SUN+TUE,2:00 PM,10A-04C,"KNI,DFD",WED,11:00 AM,09B-11L
CSE110-11,,,ADU,SUN+TUE,8:00 AM,09H-36C,"MZG,ASMN",WED,8:00 AM,09B-08L
CSE110-12,,,ADU,SUN+TUE,9:30 AM,09H-36C,"SSMT,SDW",THU,2:00 PM,09E-21L
CSE110-14,,,SBHN,SUN+TUE,2:00 PM,09C-13C,"MSI,AJK",WED,8:00 AM,09B-11L
CSE110-15,,,SBHN,SUN+TUE,3:30 PM,09C-13C,"NNY,KHC",THU,8:00 AM,09F-27L
CSE110-16,,,DFD,SUN+TUE,11:00 AM,09A-07C,"KBS,AOH",WED,8:00 AM,09B-09L
CSE110-17,,,DFD,SUN+TUE,2:00 PM,09A-07C,"RKN,SARF",WED,2:00 PM,09B-10L
CSE110-18,,,TAW,MON+WED,11:00 AM,10A-09C,"HBN,THR",THU,8:00 AM,09B-09L
CSE110-19,,,MNY,MON+WED,3:30 PM,09H-37C,"AOH,WLV",THU,11:00 AM,09B-10L
CSE110-20,,,MSI,SUN+TUE,11:00 AM,10A-06C,"DFD,HFN",WED,2:00 PM,09B-09L
CSE110-21,,,MSI,SUN+TUE,12:30 PM,10A-06C,"FZN,RTF",WED,11:00 AM,09B-10L
CSE110-22,,,MSI,MON+WED,2:00 PM,10A-09C,"NFQ,ASMN",THU,8:00 AM,09B-10L
CSE110-23,,,MSI,MON+WED,3:30 PM,10A-09C,"HFN,AJK",THU,11:00 AM,09B-11L
