Course,Pre-Requisite,Full Chain Pre-Requisite
CSE111,CSE110 (HP),
CSE220,"CSE111 (HP),CSE230 (HP)",CSE230-CSE111-CSE110
CSE221,CSE220 (HP),CSE220-CSE111-CSE110
CSE250,PHY112 (SP),
CSE251,CSE250 (HP),CSE250
CSE260,CSE251 (HP),CSE251-CSE250
CSE310,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110
CSE321,CSE221 (HP),CSE221-CSE220-CSE111-CSE110
CSE330,MAT216 (HP),MAT120-MAT110
CSE331,CSE221 (HP),CSE221-CSE220-CSE111-CSE110
CSE340,CSE260 (SP),CSE260-CSE251-CSE250
CSE341,"CSE340 (SP),CSE321 (SP)",
CSE350,CSE251 (HP),CSE251-CSE250
CSE360,CSE341 (HP),CSE341
CSE370,CSE221 (HP),CSE221-CSE220-CSE111-CSE110
CSE391,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110
CSE392,MAT215 (HP),
CSE410,CSE321 (HP),CSE321-CSE221-CSE220-CSE111-CSE110
CSE420,"CSE321 (HP),CSE331 (HP),CSE340 (HP)",CSE321-CSE331-CSE340-CSE221-CSE220-CSE111-CSE110
CSE421,CSE320 (SP),
CSE422,CSE221 (HP),CSE221-CSE220-CSE111-CSE110
CSE423,MAT216 (HP),MAT216-MAT120-MAT110
CSE430,MAT120 (HP),MAT120-MAT110
CSE460,CSE260 (HP),CSE260-CSE251-CSE250
CSE461,CSE260 (HP),CSE260-CSE251-CSE250
CSE470,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110
CSE471,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110
CSE489,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110
ENG102,ENG101 (HP),ENG101
ENG103,ENG102 (HP),ENG102
MAT120,MAT110 (HP),MAT110
MAT215,MAT216 (HP),MAT216-MAT120-MAT110
MAT216,MAT120 (HP),MAT120-MAT110
PHY112,PHY111 (HP),PHY111
