
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|##########| 103/103 [00:00<00:00, 5007.92it/s]
[full_hybrid] Q001: 20.58s gen, 0.055s retrieval
[full_hybrid] Q002: 6.49s gen, 0.032s retrieval
[full_hybrid] Q003: 8.77s gen, 0.021s retrieval
[full_hybrid] Q004: 4.71s gen, 0.025s retrieval
[full_hybrid] Q005: 8.12s gen, 0.024s retrieval
[full_hybrid] Q006: 5.16s gen, 0.015s retrieval
[full_hybrid] Q007: 12.97s gen, 0.024s retrieval
[full_hybrid] Q008: 4.35s gen, 0.027s retrieval
[full_hybrid] Q009: 3.73s gen, 0.015s retrieval
[full_hybrid] Q010: 4.74s gen, 0.023s retrieval
[full_hybrid] Q011: 7.49s gen, 0.025s retrieval
[full_hybrid] Q012: 4.89s gen, 0.023s retrieval
[full_hybrid] Q013: 6.49s gen, 0.026s retrieval
[full_hybrid] Q014: 9.42s gen, 0.020s retrieval
[full_hybrid] Q015: 5.33s gen, 0.023s retrieval
[full_hybrid] Q016: 12.45s gen, 0.022s retrieval
[full_hybrid] Q017: 8.54s gen, 0.022s retrieval
[full_hybrid] Q018: 4.25s gen, 0.025s retrieval
[full_hybrid] Q019: 4.05s gen, 0.021s retrieval
[full_hybrid] Q020: 3.66s gen, 0.021s retrieval
[full_hybrid] Q021: 10.13s gen, 0.022s retrieval
[full_hybrid] Q022: 6.30s gen, 0.023s retrieval
[full_hybrid] Q023: 10.51s gen, 0.037s retrieval
[full_hybrid] Q024: 9.27s gen, 0.029s retrieval
[full_hybrid] Q025: 9.28s gen, 0.024s retrieval
[full_hybrid] Q026: 6.71s gen, 0.026s retrieval
[full_hybrid] Q027: 8.89s gen, 0.025s retrieval
[full_hybrid] Q028: 4.10s gen, 0.018s retrieval
[full_hybrid] Q029: 7.76s gen, 0.022s retrieval
[full_hybrid] Q030: 4.90s gen, 0.023s retrieval
[full_hybrid] Q031: 18.40s gen, 0.031s retrieval
[full_hybrid] Q032: 4.18s gen, 0.017s retrieval
[full_hybrid] Q033: 12.46s gen, 0.024s retrieval
[full_hybrid] Q034: 7.87s gen, 0.035s retrieval
[full_hybrid] Q035: 7.36s gen, 0.019s retrieval
[full_hybrid] Q036: 4.18s gen, 0.017s retrieval
[full_hybrid] Q037: 8.78s gen, 0.019s retrieval
[full_hybrid] Q038: 6.14s gen, 0.021s retrieval
[full_hybrid] Q039: 5.22s gen, 0.018s retrieval
[full_hybrid] Q040: 5.63s gen, 0.058s retrieval
[full_hybrid] Q041: 9.36s gen, 0.028s retrieval
[full_hybrid] Q042: 5.78s gen, 0.021s retrieval
[full_hybrid] Q043: 6.22s gen, 0.023s retrieval
[full_hybrid] Q044: 4.15s gen, 0.028s retrieval
[full_hybrid] Q045: 7.87s gen, 0.015s retrieval
[full_hybrid] Q046: 5.51s gen, 0.017s retrieval
