route,signal,threshold,tp,fp,fn,tn,precision,recall,f1,accuracy
entity_heavy,query_confidence,0.0003,1,0,26,33,1.0,0.037037037037037035,0.07142857142857142,0.5666666666666667
entity_heavy,query_confidence,0.0004,1,1,26,32,0.5,0.037037037037037035,0.06896551724137931,0.55
entity_heavy,query_confidence,0.0005,2,2,25,31,0.5,0.07407407407407407,0.12903225806451613,0.55
entity_heavy,query_confidence,0.0006,12,2,15,31,0.8571428571428571,0.4444444444444444,0.5853658536585367,0.7166666666666667
entity_heavy,query_confidence,0.0007,19,2,8,31,0.9047619047619048,0.7037037037037037,0.7916666666666667,0.8333333333333334
entity_heavy,query_confidence,0.0021,21,2,6,31,0.9130434782608695,0.7777777777777778,0.84,0.8666666666666667
entity_heavy,query_confidence,0.003,23,2,4,31,0.92,0.8518518518518519,0.8846153846153846,0.9
entity_heavy,query_confidence,0.004,24,2,3,31,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9166666666666666
entity_heavy,query_confidence,0.0048,25,3,2,30,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9166666666666666
entity_heavy,query_confidence,0.007,26,3,1,30,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9333333333333333
entity_heavy,query_confidence,0.0115,26,3,1,30,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9333333333333333
entity_heavy,query_confidence,99.9881,27,3,0,30,0.9,1.0,0.9473684210526316,0.95
entity_heavy,query_confidence,99.9894,27,5,0,28,0.84375,1.0,0.9152542372881356,0.9166666666666666
entity_heavy,query_confidence,99.9899,27,5,0,28,0.84375,1.0,0.9152542372881356,0.9166666666666666
entity_heavy,query_confidence,99.9933,27,6,0,27,0.8181818181818182,1.0,0.9,0.9
entity_heavy,query_confidence,99.9934,27,7,0,26,0.7941176470588235,1.0,0.8852459016393442,0.8833333333333333
entity_heavy,query_confidence,99.9935,27,10,0,23,0.7297297297297297,1.0,0.8437499999999999,0.8333333333333334
entity_heavy,query_confidence,99.9936,27,11,0,22,0.7105263157894737,1.0,0.8307692307692308,0.8166666666666667
entity_heavy,query_confidence,99.9938,27,12,0,21,0.6923076923076923,1.0,0.8181818181818181,0.8
entity_heavy,query_confidence,99.9939,27,15,0,18,0.6428571428571429,1.0,0.782608695652174,0.75
entity_heavy,query_confidence,99.994,27,16,0,17,0.627906976744186,1.0,0.7714285714285715,0.7333333333333333
entity_heavy,query_confidence,99.9941,27,17,0,16,0.6136363636363636,1.0,0.7605633802816901,0.7166666666666667
entity_heavy,query_confidence,99.9942,27,18,0,15,0.6,1.0,0.7499999999999999,0.7
entity_heavy,query_confidence,99.9943,27,19,0,14,0.5869565217391305,1.0,0.7397260273972603,0.6833333333333333
entity_heavy,query_confidence,99.9948,27,21,0,12,0.5625,1.0,0.72,0.65
entity_heavy,query_confidence,99.9987,27,23,0,10,0.54,1.0,0.7012987012987013,0.6166666666666667
entity_heavy,query_confidence,99.9997,27,24,0,9,0.5294117647058824,1.0,0.6923076923076924,0.6
entity_heavy,query_confidence,100.0002,27,26,0,7,0.5094339622641509,1.0,0.6749999999999999,0.5666666666666667
entity_heavy,query_confidence,100.0003,27,28,0,5,0.4909090909090909,1.0,0.6585365853658536,0.5333333333333333
entity_heavy,query_confidence,100.0005,27,29,0,4,0.48214285714285715,1.0,0.6506024096385542,0.5166666666666667
entity_heavy,query_confidence,100.0009,27,31,0,2,0.46551724137931033,1.0,0.6352941176470588,0.48333333333333334
entity_heavy,query_confidence,100.0017,27,32,0,1,0.4576271186440678,1.0,0.627906976744186,0.4666666666666667
entity_heavy,query_confidence,100.0019,27,33,0,0,0.45,1.0,0.6206896551724138,0.45
entity_heavy,query_top1_score,0.023,0,0,27,33,0.0,0.0,0.0,0.55
entity_heavy,query_top1_score,0.0237,1,0,26,33,1.0,0.037037037037037035,0.07142857142857142,0.5666666666666667
entity_heavy,query_top1_score,0.0238,3,0,24,33,1.0,0.1111111111111111,0.19999999999999998,0.6
entity_heavy,query_top1_score,0.024,4,0,23,33,1.0,0.14814814814814814,0.25806451612903225,0.6166666666666667
entity_heavy,query_top1_score,0.0254,5,0,22,33,1.0,0.18518518518518517,0.3125,0.6333333333333333
entity_heavy,query_top1_score,0.0256,6,0,21,33,1.0,0.2222222222222222,0.3636363636363636,0.65
entity_heavy,query_top1_score,0.0258,8,0,19,33,1.0,0.2962962962962963,0.45714285714285713,0.6833333333333333
entity_heavy,query_top1_score,0.0291,8,0,19,33,1.0,0.2962962962962963,0.45714285714285713,0.6833333333333333
entity_heavy,query_top1_score,0.0292,10,0,17,33,1.0,0.37037037037037035,0.5405405405405406,0.7166666666666667
entity_heavy,query_top1_score,0.0294,11,0,16,33,1.0,0.4074074074074074,0.5789473684210525,0.7333333333333333
entity_heavy,query_top1_score,0.0317,15,0,12,33,1.0,0.5555555555555556,0.7142857142857143,0.8
entity_heavy,query_top1_score,0.0333,16,0,11,33,1.0,0.5925925925925926,0.7441860465116279,0.8166666666666667
entity_heavy,query_top1_score,100.015,27,3,0,30,0.9,1.0,0.9473684210526316,0.95
entity_heavy,query_top1_score,100.0164,27,7,0,26,0.7941176470588235,1.0,0.8852459016393442,0.8833333333333333
entity_heavy,query_top1_score,100.0166,27,13,0,20,0.675,1.0,0.8059701492537313,0.7833333333333333
entity_heavy,query_top1_score,100.0167,27,33,0,0,0.45,1.0,0.6206896551724138,0.45
open_ended,query_confidence,0.0005,1,0,184,187,1.0,0.005405405405405406,0.010752688172043012,0.5053763440860215
open_ended,query_confidence,0.0014,1,0,184,187,1.0,0.005405405405405406,0.010752688172043012,0.5053763440860215
open_ended,query_confidence,0.002,1,2,184,185,0.3333333333333333,0.005405405405405406,0.010638297872340427,0.5
open_ended,query_confidence,0.0023,2,3,183,184,0.4,0.010810810810810811,0.021052631578947368,0.5
open_ended,query_confidence,0.0026,2,3,183,184,0.4,0.010810810810810811,0.021052631578947368,0.5
open_ended,query_confidence,0.0027,2,5,183,182,0.2857142857142857,0.010810810810810811,0.020833333333333336,0.4946236559139785
open_ended,query_confidence,0.003,2,6,183,181,0.25,0.010810810810810811,0.02072538860103627,0.49193548387096775
open_ended,query_confidence,0.0033,2,6,183,181,0.25,0.010810810810810811,0.02072538860103627,0.49193548387096775
open_ended,query_confidence,0.0035,3,7,182,180,0.3,0.016216216216216217,0.030769230769230767,0.49193548387096775
open_ended,query_confidence,0.0044,3,7,182,180,0.3,0.016216216216216217,0.030769230769230767,0.49193548387096775
open_ended,query_confidence,0.0045,3,9,182,178,0.25,0.016216216216216217,0.030456852791878174,0.48655913978494625
open_ended,query_confidence,0.0049,3,9,182,178,0.25,0.016216216216216217,0.030456852791878174,0.48655913978494625
open_ended,query_confidence,0.0051,4,9,181,178,0.3076923076923077,0.021621621621621623,0.04040404040404041,0.489247311827957
open_ended,query_confidence,0.0052,6,9,179,178,0.4,0.032432432432432434,0.060000000000000005,0.4946236559139785
open_ended,query_confidence,0.0054,7,10,178,177,0.4117647058823529,0.03783783783783784,0.06930693069306931,0.4946236559139785
open_ended,query_confidence,0.0058,7,11,178,176,0.3888888888888889,0.03783783783783784,0.06896551724137932,0.49193548387096775
open_ended,query_confidence,0.0061,7,13,178,174,0.35,0.03783783783783784,0.06829268292682927,0.48655913978494625
open_ended,query_confidence,0.0069,7,13,178,174,0.35,0.03783783783783784,0.06829268292682927,0.48655913978494625
