query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q101,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.43067655807339306,0.43067655807339306
Q102,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.20210734650054757,0.5256940434743352
Q103,adaptive_deconfounded,0.0,0.0,1.0,0.2,0.38685280723454163,0.38685280723454163
Q104,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.43067655807339306,0.43067655807339306
Q105,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q106,adaptive_deconfounded,0.0,0.0,0.0,0.16666666666666666,0.0,0.3562071871080222
Q107,adaptive_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q108,adaptive_deconfounded,0.0,0.0,0.0,0.16666666666666666,0.0,0.3562071871080222
Q109,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q110,adaptive_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q111,adaptive_deconfounded,0.0,1.0,1.0,0.3333333333333333,0.5,0.5
Q112,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.43067655807339306,0.43067655807339306
Q113,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q114,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.2640681225725909,0.48247555939075504
Q115,adaptive_deconfounded,0.0,0.0,0.0,0.16666666666666666,0.0,0.3562071871080222
Q116,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.43067655807339306,0.43067655807339306
Q117,adaptive_deconfounded,0.0,0.0,1.0,0.2,0.38685280723454163,0.38685280723454163
Q118,adaptive_deconfounded,0.0,0.0,1.0,0.25,0.43067655807339306,0.43067655807339306
Q119,adaptive_deconfounded,0.0,0.0,1.0,0.2,0.38685280723454163,0.38685280723454163
Q120,adaptive_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q121,adaptive_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q122,adaptive_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q123,adaptive_deconfounded,0.0,0.0,0.0,0.16666666666666666,0.0,0.3562071871080222
