comparison,metric,n,n_ties,adaptive_mean,other_mean,mean_diff,ci95_lo,ci95_hi,p_approx,significant
adaptive_vs_bm25_only_entity_heavy_only,recall@1,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_bm25_only_entity_heavy_only,recall@3,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_bm25_only_entity_heavy_only,recall@5,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_bm25_only_entity_heavy_only,mrr,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_bm25_only_entity_heavy_only,ndcg@5,100,91,0.7911,0.8003,-0.0095,-0.0293,0.0063,0.256,False
adaptive_vs_bm25_only_entity_heavy_only,ndcg@10,100,91,0.8238,0.8303,-0.0065,-0.0143,0.0001,0.051,False
adaptive_vs_vector_only_entity_heavy_only,recall@1,100,32,0.85,0.17,0.6818,0.59,0.77,0.0,True
adaptive_vs_vector_only_entity_heavy_only,recall@3,100,40,0.85,0.25,0.602,0.5,0.7,0.0,True
adaptive_vs_vector_only_entity_heavy_only,recall@5,100,41,0.85,0.26,0.5923,0.49,0.69,0.0,True
adaptive_vs_vector_only_entity_heavy_only,mrr,100,32,0.85,0.2207,0.631,0.5403,0.7178,0.0,True
adaptive_vs_vector_only_entity_heavy_only,ndcg@5,100,26,0.7911,0.2083,0.5843,0.4968,0.672,0.0,True
adaptive_vs_vector_only_entity_heavy_only,ndcg@10,100,25,0.8238,0.2479,0.5774,0.4897,0.6597,0.0,True
adaptive_vs_full_hybrid_entity_heavy_only,recall@1,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid_entity_heavy_only,recall@3,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid_entity_heavy_only,recall@5,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid_entity_heavy_only,mrr,100,100,0.85,0.85,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid_entity_heavy_only,ndcg@5,100,91,0.7911,0.8016,-0.0107,-0.0286,0.0077,0.243,False
adaptive_vs_full_hybrid_entity_heavy_only,ndcg@10,100,89,0.8238,0.8294,-0.0056,-0.0141,0.0026,0.184,False
