.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 9464.64it/s]
[full_hybrid] BQ001: 17.39s gen, 0.047s retrieval
[full_hybrid] BQ002: 3.89s gen, 0.029s retrieval
[full_hybrid] BQ003: 5.40s gen, 0.031s retrieval
[full_hybrid] BQ004: 3.83s gen, 0.024s retrieval
[full_hybrid] BQ005: 5.57s gen, 0.025s retrieval
[full_hybrid] BQ006: 13.34s gen, 0.036s retrieval
[full_hybrid] BQ007: 5.24s gen, 0.019s retrieval
[full_hybrid] BQ008: 3.77s gen, 0.031s retrieval
[full_hybrid] BQ009: 3.84s gen, 0.028s retrieval
[full_hybrid] BQ010: 5.57s gen, 0.021s retrieval
[full_hybrid] BQ011: 5.16s gen, 0.026s retrieval
[full_hybrid] BQ012: 11.86s gen, 0.026s retrieval
[full_hybrid] BQ013: 7.41s gen, 0.033s retrieval
[full_hybrid] BQ014: 8.00s gen, 0.021s retrieval
[full_hybrid] BQ015: 5.39s gen, 0.034s retrieval
[full_hybrid] BQ016: 4.09s gen, 0.019s retrieval
[full_hybrid] BQ017: 7.90s gen, 0.025s retrieval
[full_hybrid] BQ018: 4.20s gen, 0.025s retrieval
[full_hybrid] BQ019: 4.01s gen, 0.028s retrieval
[full_hybrid] BQ020: 5.22s gen, 0.023s retrieval
[full_hybrid] BQ021: 5.83s gen, 0.023s retrieval
