.\.venv\Scripts\python.exe : 
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 16598.02it/s]
[full_hybrid] BQ001: 19.34s gen, 0.135s retrieval
[full_hybrid] BQ002: 4.04s gen, 0.029s retrieval
[full_hybrid] BQ003: 5.78s gen, 0.031s retrieval
[full_hybrid] BQ004: 3.83s gen, 0.023s retrieval
[full_hybrid] BQ005: 5.43s gen, 0.027s retrieval
[full_hybrid] BQ006: 58.80s gen, 0.027s retrieval
[full_hybrid] BQ007: 5.38s gen, 0.019s retrieval
[full_hybrid] BQ008: 5.12s gen, 0.022s retrieval
[full_hybrid] BQ009: 4.13s gen, 0.030s retrieval
[full_hybrid] BQ010: 5.77s gen, 0.023s retrieval
[full_hybrid] BQ011: 5.47s gen, 0.025s retrieval
[full_hybrid] BQ012: 13.14s gen, 0.027s retrieval
[full_hybrid] BQ013: 10.32s gen, 0.029s retrieval
[full_hybrid] BQ014: 8.25s gen, 0.020s retrieval
[full_hybrid] BQ015: 5.48s gen, 0.029s retrieval
[full_hybrid] BQ016: 7.54s gen, 0.019s retrieval
[full_hybrid] BQ017: 8.10s gen, 0.025s retrieval
[full_hybrid] BQ018: 4.36s gen, 0.021s retrieval
[full_hybrid] BQ019: 4.16s gen, 0.030s retrieval
[full_hybrid] BQ020: 5.38s gen, 0.025s retrieval
[full_hybrid] BQ021: 5.58s gen, 0.027s retrieval
[full_hybrid] BQ022: 6.50s gen, 0.028s retrieval
[full_hybrid] BQ023: 6.02s gen, 0.025s retrieval
