query_id,config,predicted_category,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,bm25_only,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q001,full_hybrid_baseline,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q001,full_hybrid_category_boost,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q001,vector_only_baseline,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,1.0,1.0
Q001,vector_only_category_boost,TARC/RS (Residential Semester),1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q002,bm25_only,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q002,vector_only_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q002,vector_only_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q003,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q003,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q003,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q004,bm25_only,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q004,vector_only_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q004,vector_only_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q005,bm25_only,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_baseline,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_category_boost,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q005,vector_only_baseline,Exams and Grading,1.0,1.0,1.0,1.0,1.0,1.0
Q005,vector_only_category_boost,Exams and Grading,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q006,bm25_only,Campus,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
Q006,full_hybrid_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q006,full_hybrid_category_boost,Campus,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q006,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q006,vector_only_category_boost,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q007,bm25_only,Campus,0.0,1.0,1.0,0.5,0.38685280723454163,0.6052602440527057
Q007,full_hybrid_baseline,Campus,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q007,full_hybrid_category_boost,Campus,0.0,1.0,1.0,0.5,0.6240505200038379,0.6240505200038379
Q007,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
