query_id,config,is_entity_heavy,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q002,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q003,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q004,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q005,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q006,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q007,colbert_external,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q008,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q009,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q010,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q011,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q012,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q013,colbert_external,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q014,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q015,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q016,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q017,colbert_external,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q018,colbert_external,False,1.0,1.0,1.0,1.0,0.8539316501572937,0.9667147927059906
Q019,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q020,colbert_external,False,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q021,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q022,colbert_external,False,1.0,1.0,1.0,1.0,0.8318724637288826,0.9550236580992476
Q023,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q024,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q025,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q026,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q027,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q028,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q029,colbert_external,False,1.0,1.0,1.0,1.0,1.0,0.9796825595768971
Q030,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q031,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q032,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q033,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q034,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q035,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q036,colbert_external,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.7903864795495061
Q037,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q038,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q039,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q040,colbert_external,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q041,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q042,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q043,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q044,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q045,colbert_external,False,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q046,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q047,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q048,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q049,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q050,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q051,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q052,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q053,colbert_external,False,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
Q054,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q055,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q056,colbert_external,False,1.0,1.0,1.0,1.0,1.0,0.9963488021549354
Q057,colbert_external,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.8065735963827293
Q058,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q059,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q060,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q061,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q062,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q063,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q064,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q065,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q066,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q067,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q068,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q069,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q070,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q071,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q072,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q073,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q074,colbert_external,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q075,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q076,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q077,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q078,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q079,colbert_external,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q080,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q081,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q082,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q083,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q084,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q085,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q086,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q087,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q088,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q089,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q090,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q091,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q092,colbert_external,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9134015924715543
Q093,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q094,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
