query_id,config,both_hit@3,both_hit@5,both_hit@10
COMPOUND-C-CSE111-01,bm25_only,False,True,True
COMPOUND-C-CSE111-02,bm25_only,False,True,True
COMPOUND-C-CSE111-03,bm25_only,False,True,True
COMPOUND-C-CSE111-04,bm25_only,False,True,True
COMPOUND-C-CSE111-05,bm25_only,False,True,True
COMPOUND-C-CSE111-06,bm25_only,False,True,True
COMPOUND-C-CSE111-07,bm25_only,False,True,True
COMPOUND-C-CSE111-08,bm25_only,False,True,True
COMPOUND-C-CSE111-09,bm25_only,False,True,True
COMPOUND-C-CSE111-10,bm25_only,False,True,True
COMPOUND-C-CSE111-11,bm25_only,False,True,True
COMPOUND-C-CSE111-12,bm25_only,False,True,True
COMPOUND-C-CSE111-13,bm25_only,False,True,True
COMPOUND-C-CSE111-14,bm25_only,False,True,True
COMPOUND-C-CSE220-01,bm25_only,False,False,True
COMPOUND-C-CSE220-02,bm25_only,False,False,True
COMPOUND-C-CSE220-03,bm25_only,False,False,True
COMPOUND-C-CSE220-04,bm25_only,False,False,True
COMPOUND-C-CSE220-05,bm25_only,False,False,True
COMPOUND-C-CSE220-06,bm25_only,False,False,True
COMPOUND-C-CSE220-07,bm25_only,False,False,True
COMPOUND-C-CSE220-08,bm25_only,False,False,True
COMPOUND-C-CSE220-09,bm25_only,False,False,True
COMPOUND-C-CSE220-10,bm25_only,False,False,True
COMPOUND-C-CSE220-11,bm25_only,False,False,True
COMPOUND-C-CSE220-12,bm25_only,False,False,True
COMPOUND-C-CSE220-13,bm25_only,False,False,True
COMPOUND-C-CSE220-14,bm25_only,False,False,True
COMPOUND-C-CSE220-15,bm25_only,False,False,True
COMPOUND-C-CSE220-16,bm25_only,False,False,True
COMPOUND-C-CSE220-17,bm25_only,False,False,True
COMPOUND-C-CSE220-18,bm25_only,False,False,True
COMPOUND-C-CSE220-19,bm25_only,False,False,True
COMPOUND-C-CSE220-20,bm25_only,False,False,True
COMPOUND-C-CSE221-01,bm25_only,False,False,True
COMPOUND-C-CSE221-02,bm25_only,False,False,True
COMPOUND-C-CSE221-03,bm25_only,False,False,True
COMPOUND-C-CSE221-04,bm25_only,False,False,True
COMPOUND-C-CSE221-05,bm25_only,False,False,True
COMPOUND-C-CSE221-06,bm25_only,False,False,True
COMPOUND-C-CSE221-07,bm25_only,False,False,True
COMPOUND-C-CSE221-09,bm25_only,False,False,True
COMPOUND-C-CSE221-10,bm25_only,False,False,True
COMPOUND-C-CSE221-11,bm25_only,False,False,True
COMPOUND-C-CSE221-12,bm25_only,False,False,True
COMPOUND-C-CSE221-13,bm25_only,False,False,True
COMPOUND-C-CSE221-14,bm25_only,False,False,True
COMPOUND-C-CSE221-15,bm25_only,False,False,True
COMPOUND-C-CSE221-16,bm25_only,False,False,True
COMPOUND-C-CSE221-17,bm25_only,False,False,True
COMPOUND-C-CSE221-18,bm25_only,False,False,True
COMPOUND-C-CSE221-19,bm25_only,False,False,True
COMPOUND-C-CSE250-01A,bm25_only,False,False,True
COMPOUND-C-CSE250-01B,bm25_only,False,False,True
COMPOUND-C-CSE250-02A,bm25_only,False,False,True
COMPOUND-C-CSE250-02B,bm25_only,False,False,True
COMPOUND-C-CSE250-03A,bm25_only,False,False,True
COMPOUND-C-CSE250-03B,bm25_only,False,False,True
COMPOUND-C-CSE250-04A,bm25_only,False,False,True
COMPOUND-C-CSE250-04B,bm25_only,False,False,True
COMPOUND-C-CSE250-05A,bm25_only,False,False,True
COMPOUND-C-CSE250-05B,bm25_only,False,False,True
COMPOUND-C-CSE250-06A,bm25_only,False,False,True
COMPOUND-C-CSE250-06B,bm25_only,False,False,True
COMPOUND-C-CSE250-07A,bm25_only,False,False,True
COMPOUND-C-CSE250-07B,bm25_only,False,False,True
COMPOUND-C-CSE250-08A,bm25_only,False,False,True
COMPOUND-C-CSE250-08B,bm25_only,False,False,True
COMPOUND-C-CSE250-09A,bm25_only,False,False,True
COMPOUND-C-CSE250-09B,bm25_only,False,False,True
COMPOUND-C-CSE250-10A,bm25_only,False,False,True
COMPOUND-C-CSE250-10B,bm25_only,False,False,True
COMPOUND-C-CSE251-01A,bm25_only,False,True,True
COMPOUND-C-CSE251-01B,bm25_only,False,True,True
COMPOUND-C-CSE251-02A,bm25_only,False,True,True
COMPOUND-C-CSE251-03A,bm25_only,False,True,True
