query_id,config,type,both_hit@3,both_hit@5,both_hit@10
COMPOUND-A-CSE111,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE220,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE221,bm25_only,prereq_coordinator,False,False,True
COMPOUND-A-CSE250,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE251,bm25_only,prereq_coordinator,False,True,True
COMPOUND-A-CSE260,bm25_only,prereq_coordinator,False,True,True
COMPOUND-A-CSE310,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE321,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE330,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE331,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE340,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE341,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE350,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE360,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE370,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE391,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE420,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE421,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE422,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE423,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE430,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE460,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE461,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE470,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE471,bm25_only,prereq_coordinator,True,True,True
COMPOUND-A-CSE489,bm25_only,prereq_coordinator,True,True,True
COMPOUND-B-CSE101-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE101-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE110-09,bm25_only,faculty_room,False,False,False
