query_id,config,prereq_hit@3,coord_hit@3,both_hit@3,prereq_hit@5,coord_hit@5,both_hit@5,prereq_hit@10,coord_hit@10,both_hit@10
COMPOUND-CSE111,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE220,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE221,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE250,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE251,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE260,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE310,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE321,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE330,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE331,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE340,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE341,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE350,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE360,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE370,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE391,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE420,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE421,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE422,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE423,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE430,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE460,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE461,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE470,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE471,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE489,bm25_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE111,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE220,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE221,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE250,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE251,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE260,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE310,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE321,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE330,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE331,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE340,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE341,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE350,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE360,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE370,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE391,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE420,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE421,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE422,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE423,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE430,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE460,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE461,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE470,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE471,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE489,vector_only,True,True,True,True,True,True,True,True,True
COMPOUND-CSE111,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE220,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE221,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE250,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE251,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE260,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE310,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE321,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE330,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE331,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE340,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE341,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE350,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE360,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE370,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE391,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE420,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE421,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE422,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE423,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE430,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE460,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE461,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE470,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE471,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE489,full_hybrid,True,True,True,True,True,True,True,True,True
COMPOUND-CSE111,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE220,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE221,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE250,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE251,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE260,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE310,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE321,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE330,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE331,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE340,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE341,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE350,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE360,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE370,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE391,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE420,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE421,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE422,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE423,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE430,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE460,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE461,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE470,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE471,adaptive,True,True,True,True,True,True,True,True,True
COMPOUND-CSE489,adaptive,True,True,True,True,True,True,True,True,True
