
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|##########| 103/103 [00:00<00:00, 11532.04it/s]
[full_hybrid] Q010: 9.81s gen, 0.058s retrieval
[full_hybrid] Q016: 11.09s gen, 0.020s retrieval
[full_hybrid] Q017: 7.92s gen, 0.018s retrieval
[full_hybrid] Q019: 4.01s gen, 0.023s retrieval
[full_hybrid] Q031: 17.11s gen, 0.028s retrieval
[full_hybrid] Q046: 5.36s gen, 0.021s retrieval
[full_hybrid] Q056: 5.82s gen, 0.021s retrieval
[full_hybrid] Q057: 4.58s gen, 0.021s retrieval
[full_hybrid] Q061: 6.58s gen, 0.016s retrieval
[full_hybrid] Q066: 8.31s gen, 0.018s retrieval
[full_hybrid] Q067: 12.21s gen, 0.022s retrieval
[full_hybrid] Q068: 4.81s gen, 0.019s retrieval
[full_hybrid] Q069: 8.77s gen, 0.023s retrieval
[full_hybrid] Q070: 5.94s gen, 0.024s retrieval
[full_hybrid] Q076: 7.42s gen, 0.022s retrieval
[full_hybrid] Q077: 3.67s gen, 0.024s retrieval
[full_hybrid] Q079: 5.93s gen, 0.021s retrieval
[full_hybrid] Q083: 7.94s gen, 0.022s retrieval
[full_hybrid] Q085: 8.14s gen, 0.032s retrieval
[full_hybrid] Q094: 5.85s gen, 0.021s retrieval
[full_hybrid] Q096: 4.88s gen, 0.024s retrieval
[full_hybrid] Q105: 3.67s gen, 0.019s retrieval
[full_hybrid] Q116: 4.68s gen, 0.014s retrieval
[full_hybrid] Q125: 4.44s gen, 0.014s retrieval
[full_hybrid] Q126: 4.57s gen, 0.016s retrieval
[full_hybrid] Q129: 3.82s gen, 0.017s retrieval
[full_hybrid] Q133: 4.14s gen, 0.021s retrieval
[full_hybrid] Q136: 4.13s gen, 0.021s retrieval
[full_hybrid] Q138: 4.68s gen, 0.017s retrieval
[full_hybrid] Q149: 4.82s gen, 0.015s retrieval
[full_hybrid] Q151: 5.10s gen, 0.020s retrieval
[full_hybrid] Q153: 4.94s gen, 0.019s retrieval
[full_hybrid] Q159: 5.06s gen, 0.023s retrieval
[full_hybrid] Q165: 5.15s gen, 0.021s retrieval
[full_hybrid] Q166: 5.29s gen, 0.018s retrieval
[full_hybrid] Q171: 5.31s gen, 0.019s retrieval
[full_hybrid] Q175: 5.33s gen, 0.021s retrieval
[full_hybrid] Q178: 5.91s gen, 0.022s retrieval
[full_hybrid] Q183: 4.48s gen, 0.021s retrieval
[full_hybrid] Q187: 3.76s gen, 0.020s retrieval
[bm25_only] Q010: 4.74s gen, 0.020s retrieval
[bm25_only] Q016: 11.27s gen, 0.022s retrieval
[bm25_only] Q017: 7.99s gen, 0.024s retrieval
[bm25_only] Q019: 3.89s gen, 0.019s retrieval
[bm25_only] Q031: 17.39s gen, 0.028s retrieval
[bm25_only] Q046: 6.09s gen, 0.019s retrieval
[bm25_only] Q056: 5.85s gen, 0.024s retrieval
[bm25_only] Q057: 4.40s gen, 0.023s retrieval
[bm25_only] Q061: 6.82s gen, 0.016s retrieval
[bm25_only] Q066: 7.83s gen, 0.022s retrieval
[bm25_only] Q067: 10.13s gen, 0.027s retrieval
[bm25_only] Q068: 5.50s gen, 0.023s retrieval
[bm25_only] Q069: 8.95s gen, 0.020s retrieval
[bm25_only] Q070: 6.10s gen, 0.029s retrieval
[bm25_only] Q076: 7.51s gen, 0.019s retrieval
[bm25_only] Q077: 3.60s gen, 0.023s retrieval
[bm25_only] Q079: 5.70s gen, 0.023s retrieval
[bm25_only] Q083: 7.06s gen, 0.026s retrieval
[bm25_only] Q085: 7.99s gen, 0.033s retrieval
[bm25_only] Q094: 5.78s gen, 0.022s retrieval
[bm25_only] Q096: 4.77s gen, 0.022s retrieval
[bm25_only] Q105: 3.73s gen, 0.016s retrieval
[bm25_only] Q116: 6.15s gen, 0.015s retrieval
[bm25_only] Q125: 4.31s gen, 0.017s retrieval
[bm25_only] Q126: 4.43s gen, 0.016s retrieval
[bm25_only] Q129: 3.87s gen, 0.018s retrieval
