query_id,config,is_entity_heavy,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q002,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q003,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q004,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q005,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q006,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q007,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q008,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q009,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q010,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q011,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q012,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q013,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q014,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9066276098484507
Q015,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q016,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q017,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q018,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q019,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q020,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q021,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q022,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q023,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q024,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q025,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q026,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q027,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q028,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q029,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.639945385422766,0.8738100898801323
Q030,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q031,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q032,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q033,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q034,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q035,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q036,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q037,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q038,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q039,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q040,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q041,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q042,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q043,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q044,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q045,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
Q046,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q047,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q048,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q049,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q050,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q051,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q052,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q053,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q054,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q055,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q056,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q057,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.7977228895450266
Q058,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q059,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q060,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q061,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q062,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q063,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q064,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q065,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q066,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q067,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q068,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q069,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q070,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q071,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q072,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q073,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q074,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q075,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q076,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q077,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q078,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q079,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q080,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q081,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q082,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q083,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q084,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q085,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q086,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q087,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q088,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q089,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q090,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q091,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,0.9950883841893561
Q092,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q093,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q094,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q095,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q096,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q097,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q098,gte_moderncolbert,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q099,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q100,gte_moderncolbert,False,1.0,1.0,1.0,1.0,1.0,1.0
Q101,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q102,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q103,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q104,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q105,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q106,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q107,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q108,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q109,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q110,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q111,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q112,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q113,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q114,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q115,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q116,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q117,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q118,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,0.9888026041880242
Q119,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q120,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q121,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q122,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q123,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q124,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q125,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q126,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q127,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q128,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q129,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q130,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,0.9937947856332161
Q131,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q132,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q133,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q134,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q135,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q136,gte_moderncolbert,True,1.0,1.0,1.0,1.0,0.6713860725233041,0.8194270280062366
Q137,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q138,gte_moderncolbert,True,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q139,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
Q140,gte_moderncolbert,True,1.0,1.0,1.0,1.0,1.0,1.0
