comparison,metric,mean_diff,ci95_lo,ci95_hi,p_approx,significant
adaptive_vs_bm25_only,recall@1,0.0099,0.0,0.025,0.0,False
adaptive_vs_bm25_only,recall@3,0.0099,0.0,0.025,0.0,False
adaptive_vs_bm25_only,recall@5,0.005,0.0,0.015,0.0,False
adaptive_vs_bm25_only,mrr,0.0079,0.0,0.0204,0.0,False
adaptive_vs_bm25_only,ndcg@5,0.0072,-0.0038,0.021,0.238,False
adaptive_vs_bm25_only,ndcg@10,0.0042,-0.0021,0.0118,0.256,False
adaptive_vs_vector_only,recall@1,0.0204,-0.01,0.05,0.154,False
adaptive_vs_vector_only,recall@3,0.0201,-0.005,0.045,0.054,False
adaptive_vs_vector_only,recall@5,0.0201,-0.005,0.045,0.054,False
adaptive_vs_vector_only,mrr,0.0219,-0.0033,0.05,0.092,False
adaptive_vs_vector_only,ndcg@5,0.059,0.0289,0.0901,0.0,True
adaptive_vs_vector_only,ndcg@10,0.0399,0.0154,0.0668,0.001,True
adaptive_vs_full_hybrid,recall@1,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid,recall@3,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid,recall@5,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid,mrr,0.0,0.0,0.0,0.0,False
adaptive_vs_full_hybrid,ndcg@5,0.0007,-0.0083,0.0097,0.877,False
adaptive_vs_full_hybrid,ndcg@10,0.0003,-0.0035,0.004,0.83,False
