subset,comparison,metric,n,mean_diff,ci_lo,ci_hi,p,significant
all,lambda_0.3_vs_bm25_only,bleu,140,-0.0354,-0.0746,0.0046,0.078,False
all,lambda_0.3_vs_bm25_only,rougeL,140,-0.0045,-0.027,0.0182,0.721,False
all,lambda_0.3_vs_bm25_only,bertscore,140,-0.0022,-0.006,0.0017,0.284,False
all,lambda_0.3_vs_bm25_only,meteor,140,-0.0283,-0.0539,-0.0024,0.031,True
all,lambda_0.3_vs_vector_only,bleu,140,0.0035,-0.0241,0.0302,0.771,False
all,lambda_0.3_vs_vector_only,rougeL,140,0.0128,-0.0096,0.0364,0.261,False
all,lambda_0.3_vs_vector_only,bertscore,140,0.0017,-0.0012,0.0046,0.26,False
all,lambda_0.3_vs_vector_only,meteor,140,0.0075,-0.0147,0.0294,0.474,False
all,lambda_0.3_vs_full_hybrid,bleu,140,-0.0315,-0.0697,0.0058,0.098,False
all,lambda_0.3_vs_full_hybrid,rougeL,140,-0.0031,-0.0232,0.0179,0.762,False
all,lambda_0.3_vs_full_hybrid,bertscore,140,-0.0009,-0.0045,0.0028,0.641,False
all,lambda_0.3_vs_full_hybrid,meteor,140,-0.0225,-0.0488,0.0019,0.075,False
all,lambda_0.3_vs_no_retrieval,bleu,140,0.594,0.534,0.6541,0.0,True
all,lambda_0.3_vs_no_retrieval,rougeL,140,0.6372,0.5993,0.6732,0.0,True
all,lambda_0.3_vs_no_retrieval,bertscore,140,0.1009,0.0935,0.1082,0.0,True
all,lambda_0.3_vs_no_retrieval,meteor,140,0.5458,0.5029,0.5879,0.0,True
open_ended,lambda_0.3_vs_bm25_only,bleu,70,0.0132,-0.0337,0.0612,0.58,False
open_ended,lambda_0.3_vs_bm25_only,rougeL,70,0.0133,-0.0191,0.0483,0.463,False
open_ended,lambda_0.3_vs_bm25_only,bertscore,70,0.002,-0.0031,0.0075,0.465,False
open_ended,lambda_0.3_vs_bm25_only,meteor,70,0.0129,-0.0226,0.0513,0.506,False
open_ended,lambda_0.3_vs_vector_only,bleu,70,-0.0036,-0.0481,0.0418,0.875,False
open_ended,lambda_0.3_vs_vector_only,rougeL,70,0.0028,-0.0295,0.0373,0.895,False
open_ended,lambda_0.3_vs_vector_only,bertscore,70,-0.0001,-0.0043,0.004,0.952,False
open_ended,lambda_0.3_vs_vector_only,meteor,70,0.0032,-0.0346,0.0408,0.888,False
open_ended,lambda_0.3_vs_full_hybrid,bleu,70,0.0146,-0.0252,0.0539,0.448,False
open_ended,lambda_0.3_vs_full_hybrid,rougeL,70,0.0119,-0.0157,0.0422,0.431,False
open_ended,lambda_0.3_vs_full_hybrid,bertscore,70,0.002,-0.0019,0.0062,0.338,False
open_ended,lambda_0.3_vs_full_hybrid,meteor,70,0.0111,-0.0202,0.0433,0.507,False
open_ended,lambda_0.3_vs_no_retrieval,bleu,70,0.7626,0.6967,0.8263,0.0,True
open_ended,lambda_0.3_vs_no_retrieval,rougeL,70,0.6988,0.6526,0.7428,0.0,True
open_ended,lambda_0.3_vs_no_retrieval,bertscore,70,0.1176,0.1093,0.1261,0.0,True
open_ended,lambda_0.3_vs_no_retrieval,meteor,70,0.6534,0.6088,0.6972,0.0,True
entity_heavy,lambda_0.3_vs_bm25_only,bleu,70,-0.085,-0.1453,-0.0229,0.008,True
entity_heavy,lambda_0.3_vs_bm25_only,rougeL,70,-0.0227,-0.0506,0.0052,0.108,False
entity_heavy,lambda_0.3_vs_bm25_only,bertscore,70,-0.0064,-0.012,-0.0011,0.021,True
entity_heavy,lambda_0.3_vs_bm25_only,meteor,70,-0.0694,-0.1035,-0.0362,0.0,True
entity_heavy,lambda_0.3_vs_vector_only,bleu,70,0.0115,-0.0184,0.0421,0.458,False
entity_heavy,lambda_0.3_vs_vector_only,rougeL,70,0.0233,-0.0053,0.0552,0.122,False
entity_heavy,lambda_0.3_vs_vector_only,bertscore,70,0.0035,-0.0001,0.0074,0.055,False
entity_heavy,lambda_0.3_vs_vector_only,meteor,70,0.0123,-0.0075,0.0338,0.22,False
entity_heavy,lambda_0.3_vs_full_hybrid,bleu,70,-0.078,-0.1415,-0.0164,0.01,True
entity_heavy,lambda_0.3_vs_full_hybrid,rougeL,70,-0.0181,-0.0477,0.0112,0.231,False
entity_heavy,lambda_0.3_vs_full_hybrid,bertscore,70,-0.0037,-0.0098,0.0019,0.205,False
entity_heavy,lambda_0.3_vs_full_hybrid,meteor,70,-0.0563,-0.0938,-0.0196,0.002,True
entity_heavy,lambda_0.3_vs_no_retrieval,bleu,70,0.4247,0.3425,0.5047,0.0,True
entity_heavy,lambda_0.3_vs_no_retrieval,rougeL,70,0.5755,0.5234,0.627,0.0,True
entity_heavy,lambda_0.3_vs_no_retrieval,bertscore,70,0.0841,0.0734,0.0946,0.0,True
entity_heavy,lambda_0.3_vs_no_retrieval,meteor,70,0.437,0.3737,0.495,0.0,True
