lambda,bleu,rougeL,bertscore,meteor,subset
0.0,0.6497,0.832,0.9659,0.8465,all
0.1,0.636,0.8261,0.9647,0.8428,all
0.2,0.6572,0.8415,0.9663,0.8566,all
0.3,0.6665,0.8517,0.9678,0.8623,all
0.4,0.6691,0.8288,0.9616,0.8556,all
0.5,0.6166,0.7998,0.9573,0.8342,all
0.6,0.6009,0.7831,0.9558,0.8227,all
0.7,0.6007,0.7895,0.9572,0.8299,all
0.8,0.6007,0.7895,0.9572,0.8299,all
0.9,0.6003,0.786,0.9569,0.8363,all
1.0,0.6213,0.7994,0.9593,0.846,all
0.0,0.507,0.7619,0.9509,0.7443,entity_heavy
0.1,0.5144,0.7802,0.9515,0.7676,entity_heavy
0.2,0.5317,0.7885,0.9523,0.7723,entity_heavy
0.3,0.524,0.7847,0.9523,0.7666,entity_heavy
0.4,0.5624,0.7722,0.9459,0.7865,entity_heavy
0.5,0.4889,0.7298,0.9401,0.7637,entity_heavy
0.6,0.4966,0.7403,0.9415,0.7654,entity_heavy
0.7,0.4933,0.7366,0.941,0.7572,entity_heavy
0.8,0.4933,0.7366,0.941,0.7572,entity_heavy
0.9,0.4952,0.7319,0.9407,0.7718,entity_heavy
1.0,0.5383,0.7562,0.945,0.7899,entity_heavy
0.0,0.7923,0.9021,0.981,0.9487,open_ended
0.1,0.7576,0.872,0.9779,0.918,open_ended
0.2,0.7826,0.8946,0.9803,0.9409,open_ended
0.3,0.809,0.9187,0.9833,0.9581,open_ended
0.4,0.7757,0.8854,0.9772,0.9248,open_ended
0.5,0.7444,0.8697,0.9745,0.9048,open_ended
0.6,0.7052,0.826,0.9701,0.88,open_ended
0.7,0.7081,0.8424,0.9733,0.9025,open_ended
0.8,0.7081,0.8424,0.9733,0.9025,open_ended
0.9,0.7054,0.8402,0.9731,0.9008,open_ended
1.0,0.7043,0.8425,0.9737,0.902,open_ended
