subset,lambda,comparison,metric,n,mean_diff,p_value,significant_at_0.05
all,0.1,vs_bm25_only,bleu,60,0.0147,0.6499,False
all,0.1,vs_bm25_only,rougeL,60,0.0267,0.253,False
all,0.1,vs_bm25_only,bertscore,60,0.0054,0.1169,False
all,0.1,vs_bm25_only,meteor,60,-0.0032,0.8879,False
all,0.1,vs_vector_only,bleu,60,-0.0136,0.3279,False
all,0.1,vs_vector_only,rougeL,60,-0.0059,0.6884,False
all,0.1,vs_vector_only,bertscore,60,-0.0012,0.5135,False
all,0.1,vs_vector_only,meteor,60,-0.0037,0.7993,False
all,0.2,vs_bm25_only,bleu,60,0.0359,0.2581,False
all,0.2,vs_bm25_only,rougeL,60,0.0422,0.0408,True
all,0.2,vs_bm25_only,bertscore,60,0.007,0.0339,True
all,0.2,vs_bm25_only,meteor,60,0.0106,0.5724,False
all,0.2,vs_vector_only,bleu,60,0.0075,0.5911,False
all,0.2,vs_vector_only,rougeL,60,0.0096,0.4302,False
all,0.2,vs_vector_only,bertscore,60,0.0004,0.7985,False
all,0.2,vs_vector_only,meteor,60,0.0101,0.2274,False
all,0.3,vs_bm25_only,bleu,60,0.0452,0.1716,False
all,0.3,vs_bm25_only,rougeL,60,0.0523,0.0218,True
all,0.3,vs_bm25_only,bertscore,60,0.0085,0.0148,True
all,0.3,vs_bm25_only,meteor,60,0.0164,0.4018,False
all,0.3,vs_vector_only,bleu,60,0.0169,0.3287,False
all,0.3,vs_vector_only,rougeL,60,0.0197,0.2217,False
all,0.3,vs_vector_only,bertscore,60,0.0019,0.3337,False
all,0.3,vs_vector_only,meteor,60,0.0158,0.1417,False
all,0.4,vs_bm25_only,bleu,60,0.0478,0.1625,False
all,0.4,vs_bm25_only,rougeL,60,0.0294,0.2615,False
all,0.4,vs_bm25_only,bertscore,60,0.0022,0.5733,False
all,0.4,vs_bm25_only,meteor,60,0.0096,0.6814,False
all,0.4,vs_vector_only,bleu,60,0.0194,0.5153,False
all,0.4,vs_vector_only,rougeL,60,-0.0032,0.9084,False
all,0.4,vs_vector_only,bertscore,60,-0.0043,0.3433,False
all,0.4,vs_vector_only,meteor,60,0.0091,0.7278,False
all,0.5,vs_bm25_only,bleu,60,-0.0047,0.8623,False
all,0.5,vs_bm25_only,rougeL,60,0.0004,0.9865,False
all,0.5,vs_bm25_only,bertscore,60,-0.002,0.6017,False
all,0.5,vs_bm25_only,meteor,60,-0.0118,0.56,False
all,0.5,vs_vector_only,bleu,60,-0.033,0.3778,False
all,0.5,vs_vector_only,rougeL,60,-0.0322,0.2877,False
all,0.5,vs_vector_only,bertscore,60,-0.0086,0.0838,False
all,0.5,vs_vector_only,meteor,60,-0.0123,0.6574,False
all,0.6,vs_bm25_only,bleu,60,-0.0204,0.3739,False
all,0.6,vs_bm25_only,rougeL,60,-0.0162,0.4164,False
all,0.6,vs_bm25_only,bertscore,60,-0.0035,0.3142,False
all,0.6,vs_bm25_only,meteor,60,-0.0233,0.2056,False
all,0.6,vs_vector_only,bleu,60,-0.0488,0.1747,False
all,0.6,vs_vector_only,rougeL,60,-0.0489,0.0933,False
all,0.6,vs_vector_only,bertscore,60,-0.0101,0.0346,True
all,0.6,vs_vector_only,meteor,60,-0.0238,0.3859,False
all,0.7,vs_bm25_only,bleu,60,-0.0206,0.1659,False
all,0.7,vs_bm25_only,rougeL,60,-0.0099,0.3844,False
all,0.7,vs_bm25_only,bertscore,60,-0.0022,0.1559,False
all,0.7,vs_bm25_only,meteor,60,-0.0161,0.0438,True
