python : 
At line:5 char:1
+ python -u scripts/run_novel_pipeline.py --use-reranker --rerank-pool- ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 11350.25it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 3445.70it/s]
[open_ended/linear] Q001: 20.51s gen, 0.045s retrieval, 0.012s rerank
[open_ended/linear] Q002: 6.95s gen, 0.026s retrieval, 0.035s rerank
[open_ended/linear] Q003: 9.56s gen, 0.018s retrieval, 0.021s rerank
[open_ended/linear] Q004: 4.83s gen, 0.021s retrieval, 0.019s rerank
[open_ended/linear] Q005: 8.69s gen, 0.017s retrieval, 0.013s rerank
[open_ended/linear] Q006: 5.28s gen, 0.016s retrieval, 0.021s rerank
[open_ended/linear] Q007: 12.97s gen, 0.017s retrieval, 0.016s rerank
[open_ended/linear] Q008: 4.38s gen, 0.019s retrieval, 0.017s rerank
[open_ended/linear] Q009: 3.73s gen, 0.012s retrieval, 0.011s rerank
[open_ended/linear] Q010: 4.93s gen, 0.016s retrieval, 0.012s rerank
[open_ended/linear] Q011: 9.10s gen, 0.021s retrieval, 0.013s rerank
[open_ended/linear] Q012: 4.75s gen, 0.019s retrieval, 0.015s rerank
[open_ended/linear] Q013: 6.32s gen, 0.017s retrieval, 0.014s rerank
[open_ended/linear] Q014: 9.26s gen, 0.018s retrieval, 0.015s rerank
[open_ended/linear] Q015: 5.34s gen, 0.017s retrieval, 0.020s rerank
[open_ended/linear] Q016: 11.77s gen, 0.020s retrieval, 0.014s rerank
[open_ended/linear] Q017: 8.78s gen, 0.019s retrieval, 0.024s rerank
[open_ended/linear] Q018: 4.26s gen, 0.020s retrieval, 0.015s rerank
[open_ended/linear] Q019: 4.01s gen, 0.020s retrieval, 0.010s rerank
[open_ended/linear] Q020: 3.61s gen, 0.020s retrieval, 0.009s rerank
[open_ended/linear] Q021: 8.39s gen, 0.016s retrieval, 0.013s rerank
[open_ended/linear] Q022: 6.35s gen, 0.017s retrieval, 0.013s rerank
[open_ended/linear] Q023: 10.15s gen, 0.023s retrieval, 0.021s rerank
[open_ended/linear] Q024: 8.80s gen, 0.020s retrieval, 0.024s rerank
[open_ended/linear] Q025: 9.27s gen, 0.016s retrieval, 0.022s rerank
[open_ended/linear] Q026: 6.83s gen, 0.016s retrieval, 0.022s rerank
[open_ended/linear] Q027: 8.81s gen, 0.016s retrieval, 0.015s rerank
[open_ended/linear] Q028: 4.11s gen, 0.014s retrieval, 0.013s rerank
