.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 7526.50it/s]
[full_hybrid] Q001: 7.11s gen, 0.089s retrieval
[full_hybrid] Q002: 6.76s gen, 0.025s retrieval
[full_hybrid] Q003: 9.21s gen, 0.019s retrieval
[full_hybrid] Q004: 7.08s gen, 0.023s retrieval
[full_hybrid] Q005: 8.43s gen, 0.019s retrieval
[full_hybrid] Q006: 5.17s gen, 0.019s retrieval
[full_hybrid] Q007: 10.85s gen, 0.020s retrieval
[full_hybrid] Q008: 4.35s gen, 0.023s retrieval
[full_hybrid] Q009: 3.68s gen, 0.015s retrieval
[full_hybrid] Q010: 4.88s gen, 0.023s retrieval
[full_hybrid] Q011: 8.70s gen, 0.025s retrieval
[full_hybrid] Q012: 4.75s gen, 0.024s retrieval
[full_hybrid] Q013: 8.00s gen, 0.024s retrieval
[full_hybrid] Q014: 8.09s gen, 0.020s retrieval
[full_hybrid] Q015: 9.21s gen, 0.022s retrieval
[full_hybrid] Q016: 7.68s gen, 0.023s retrieval
[full_hybrid] Q017: 8.09s gen, 0.022s retrieval
[full_hybrid] Q018: 4.18s gen, 0.024s retrieval
[full_hybrid] Q019: 3.86s gen, 0.020s retrieval
[full_hybrid] Q020: 3.51s gen, 0.018s retrieval
[full_hybrid] Q021: 10.05s gen, 0.024s retrieval
[full_hybrid] Q022: 13.83s gen, 0.028s retrieval
