.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4670.36it/s]
[full_hybrid] Q001: 10.06s gen, 0.226s retrieval
[full_hybrid] Q002: 6.28s gen, 0.032s retrieval
[full_hybrid] Q003: 8.60s gen, 0.022s retrieval
[full_hybrid] Q004: 6.85s gen, 0.025s retrieval
[full_hybrid] Q005: 7.96s gen, 0.022s retrieval
[full_hybrid] Q006: 4.96s gen, 0.015s retrieval
[full_hybrid] Q007: 9.28s gen, 0.023s retrieval
[full_hybrid] Q008: 4.43s gen, 0.025s retrieval
[full_hybrid] Q009: 3.64s gen, 0.018s retrieval
[full_hybrid] Q010: 3.76s gen, 0.021s retrieval
[full_hybrid] Q011: 8.23s gen, 0.026s retrieval
[full_hybrid] Q012: 4.60s gen, 0.024s retrieval
[full_hybrid] Q013: 7.79s gen, 0.021s retrieval
[full_hybrid] Q014: 8.35s gen, 0.020s retrieval
[full_hybrid] Q015: 9.12s gen, 0.020s retrieval
[full_hybrid] Q016: 7.49s gen, 0.025s retrieval
[full_hybrid] Q017: 8.10s gen, 0.022s retrieval
[full_hybrid] Q018: 3.99s gen, 0.021s retrieval
[full_hybrid] Q019: 3.77s gen, 0.021s retrieval
[full_hybrid] Q020: 3.49s gen, 0.018s retrieval
[full_hybrid] Q021: 8.70s gen, 0.024s retrieval
[full_hybrid] Q022: 7.73s gen, 0.027s retrieval
