.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<?, ?it/s]
[open_ended/linear] Q001: 18.93s gen, 0.087s retrieval, 0.142s rerank
[open_ended/linear] Q002: 6.49s gen, 0.032s retrieval, 0.114s rerank
[open_ended/linear] Q003: 0.00s gen, 0.024s retrieval, 0.115s rerank [ABSTAINED]
[open_ended/linear] Q004: 6.86s gen, 0.026s retrieval, 0.096s rerank
[open_ended/linear] Q005: 8.05s gen, 0.023s retrieval, 0.125s rerank
[open_ended/linear] Q006: 0.00s gen, 0.020s retrieval, 0.105s rerank [ABSTAINED]
[open_ended/linear] Q007: 10.27s gen, 0.024s retrieval, 0.109s rerank
[open_ended/linear] Q008: 3.88s gen, 0.022s retrieval, 0.118s rerank
[open_ended/linear] Q009: 3.70s gen, 0.020s retrieval, 0.080s rerank
[open_ended/linear] Q010: 0.00s gen, 0.020s retrieval, 0.160s rerank [ABSTAINED]
[open_ended/linear] Q011: 8.36s gen, 0.021s retrieval, 0.095s rerank
[open_ended/linear] Q012: 4.80s gen, 0.023s retrieval, 0.077s rerank
[open_ended/linear] Q013: 7.90s gen, 0.056s retrieval, 0.123s rerank
[open_ended/linear] Q014: 8.24s gen, 0.021s retrieval, 0.137s rerank
[open_ended/linear] Q015: 8.97s gen, 0.021s retrieval, 0.121s rerank
[open_ended/linear] Q016: 7.58s gen, 0.027s retrieval, 0.105s rerank
[open_ended/linear] Q017: 0.00s gen, 0.021s retrieval, 0.104s rerank [ABSTAINED]
[open_ended/linear] Q018: 4.10s gen, 0.022s retrieval, 0.073s rerank
[open_ended/linear] Q019: 3.73s gen, 0.021s retrieval, 0.062s rerank
[open_ended/linear] Q020: 3.64s gen, 0.022s retrieval, 0.080s rerank
[open_ended/linear] Q021: 8.77s gen, 0.020s retrieval, 0.108s rerank
[open_ended/linear] Q022: 10.32s gen, 0.028s retrieval, 0.156s rerank
[open_ended/linear] Q023: 5.95s gen, 0.023s retrieval, 0.099s rerank
