.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6446.81it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 9181.74it/s]
[open_ended/linear] Q001: 18.87s gen, 0.125s retrieval, 0.126s rerank
[open_ended/linear] Q002: 6.38s gen, 0.035s retrieval, 0.120s rerank
[open_ended/linear] Q003: 0.00s gen, 0.026s retrieval, 0.118s rerank [ABSTAINED]
[open_ended/linear] Q004: 6.81s gen, 0.027s retrieval, 0.069s rerank
[open_ended/linear] Q005: 8.08s gen, 0.026s retrieval, 0.127s rerank
[open_ended/linear] Q006: 0.00s gen, 0.021s retrieval, 0.097s rerank [ABSTAINED]
[open_ended/linear] Q007: 10.19s gen, 0.025s retrieval, 0.113s rerank
[open_ended/linear] Q008: 3.79s gen, 0.027s retrieval, 0.115s rerank
[open_ended/linear] Q009: 3.68s gen, 0.018s retrieval, 0.078s rerank
[open_ended/linear] Q010: 0.00s gen, 0.019s retrieval, 0.154s rerank [ABSTAINED]
[open_ended/linear] Q011: 8.48s gen, 0.024s retrieval, 0.075s rerank
[open_ended/linear] Q012: 4.75s gen, 0.021s retrieval, 0.081s rerank
[open_ended/linear] Q013: 7.91s gen, 0.021s retrieval, 0.107s rerank
[open_ended/linear] Q014: 8.19s gen, 0.023s retrieval, 0.137s rerank
[open_ended/linear] Q015: 9.15s gen, 0.021s retrieval, 0.116s rerank
[open_ended/linear] Q016: 7.63s gen, 0.024s retrieval, 0.104s rerank
[open_ended/linear] Q017: 0.00s gen, 0.020s retrieval, 0.102s rerank [ABSTAINED]
[open_ended/linear] Q018: 4.09s gen, 0.022s retrieval, 0.077s rerank
[open_ended/linear] Q019: 3.74s gen, 0.022s retrieval, 0.060s rerank
[open_ended/linear] Q020: 3.65s gen, 0.020s retrieval, 0.082s rerank
[open_ended/linear] Q021: 8.79s gen, 0.023s retrieval, 0.111s rerank
[open_ended/linear] Q022: 10.69s gen, 0.024s retrieval, 0.154s rerank
[open_ended/linear] Q023: 5.94s gen, 0.021s retrieval, 0.104s rerank
[open_ended/linear] Q024: 8.41s gen, 0.028s retrieval, 0.127s rerank
[open_ended/linear] Q025: 7.37s gen, 0.027s retrieval, 0.109s rerank
[open_ended/linear] Q026: 6.49s gen, 0.021s retrieval, 0.120s rerank
[open_ended/linear] Q027: 6.87s gen, 0.024s retrieval, 0.139s rerank
[open_ended/linear] Q028: 6.33s gen, 0.026s retrieval, 0.114s rerank
[open_ended/linear] Q029: 4.00s gen, 0.020s retrieval, 0.103s rerank
[open_ended/linear] Q030: 4.79s gen, 0.024s retrieval, 0.082s rerank
[open_ended/linear] Q031: 4.56s gen, 0.023s retrieval, 0.070s rerank
[open_ended/linear] Q032: 11.54s gen, 0.021s retrieval, 0.124s rerank
[open_ended/linear] Q033: 3.74s gen, 0.022s retrieval, 0.137s rerank
[open_ended/linear] Q034: 11.74s gen, 0.021s retrieval, 0.122s rerank
[open_ended/linear] Q035: 7.36s gen, 0.029s retrieval, 0.126s rerank
[open_ended/linear] Q036: 0.00s gen, 0.017s retrieval, 0.084s rerank [ABSTAINED]
[open_ended/linear] Q037: 4.09s gen, 0.022s retrieval, 0.112s rerank
[open_ended/linear] Q038: 8.52s gen, 0.020s retrieval, 0.138s rerank
[open_ended/linear] Q039: 5.69s gen, 0.027s retrieval, 0.116s rerank
[open_ended/linear] Q040: 5.31s gen, 0.024s retrieval, 0.131s rerank
