.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]
[full_hybrid] Q001: 19.68s gen, 0.050s retrieval
[full_hybrid] Q002: 6.48s gen, 0.030s retrieval
[full_hybrid] Q003: 8.59s gen, 0.019s retrieval
[full_hybrid] Q004: 4.54s gen, 0.025s retrieval
[full_hybrid] Q005: 7.95s gen, 0.023s retrieval
[full_hybrid] Q006: 5.01s gen, 0.019s retrieval
[full_hybrid] Q007: 11.11s gen, 0.022s retrieval
[full_hybrid] Q008: 4.92s gen, 0.025s retrieval
[full_hybrid] Q009: 3.67s gen, 0.017s retrieval
[full_hybrid] Q010: 3.77s gen, 0.021s retrieval
[full_hybrid] Q011: 9.84s gen, 0.022s retrieval
[full_hybrid] Q012: 4.63s gen, 0.024s retrieval
[full_hybrid] Q013: 6.19s gen, 0.019s retrieval
[full_hybrid] Q014: 9.04s gen, 0.022s retrieval
[full_hybrid] Q015: 5.17s gen, 0.021s retrieval
[full_hybrid] Q016: 11.40s gen, 0.022s retrieval
[full_hybrid] Q017: 8.03s gen, 0.021s retrieval
[full_hybrid] Q018: 4.04s gen, 0.022s retrieval
[full_hybrid] Q019: 3.83s gen, 0.019s retrieval
[full_hybrid] Q020: 3.58s gen, 0.019s retrieval
[full_hybrid] Q021: 9.49s gen, 0.020s retrieval
[full_hybrid] Q022: 6.29s gen, 0.021s retrieval
