.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 7885.61it/s]
[full_hybrid] Q001: 22.52s gen, 0.040s retrieval
[full_hybrid] Q002: 7.11s gen, 0.029s retrieval
[full_hybrid] Q003: 10.11s gen, 0.020s retrieval
[full_hybrid] Q004: 4.95s gen, 0.027s retrieval
[full_hybrid] Q005: 8.81s gen, 0.025s retrieval
[full_hybrid] Q006: 5.35s gen, 0.019s retrieval
[full_hybrid] Q007: 12.30s gen, 0.022s retrieval
[full_hybrid] Q008: 5.23s gen, 0.024s retrieval
[full_hybrid] Q009: 3.83s gen, 0.017s retrieval
[full_hybrid] Q010: 3.92s gen, 0.022s retrieval
[full_hybrid] Q011: 10.71s gen, 0.026s retrieval
[full_hybrid] Q012: 4.72s gen, 0.023s retrieval
[full_hybrid] Q013: 6.27s gen, 0.023s retrieval
[full_hybrid] Q014: 9.25s gen, 0.020s retrieval
[full_hybrid] Q015: 5.27s gen, 0.022s retrieval
[full_hybrid] Q016: 11.48s gen, 0.020s retrieval
[full_hybrid] Q017: 8.04s gen, 0.020s retrieval
[full_hybrid] Q018: 4.11s gen, 0.022s retrieval
[full_hybrid] Q019: 3.86s gen, 0.022s retrieval
[full_hybrid] Q020: 3.60s gen, 0.020s retrieval
[full_hybrid] Q021: 8.59s gen, 0.021s retrieval
[full_hybrid] Q022: 6.17s gen, 0.022s retrieval
