.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6717.03it/s]
[open_ended/linear] Q001: 11.41s gen, 0.055s retrieval, 0.198s rerank
[open_ended/linear] Q002: 6.51s gen, 0.032s retrieval, 0.166s rerank
[open_ended/linear] Q003: 9.72s gen, 0.023s retrieval, 0.199s rerank
[open_ended/linear] Q004: 4.64s gen, 0.026s retrieval, 0.088s rerank
[open_ended/linear] Q005: 8.11s gen, 0.023s retrieval, 0.142s rerank
[open_ended/linear] Q006: 5.21s gen, 0.016s retrieval, 0.111s rerank
[open_ended/linear] Q007: 12.44s gen, 0.021s retrieval, 0.145s rerank
[open_ended/linear] Q008: 4.28s gen, 0.024s retrieval, 0.319s rerank
[open_ended/linear] Q009: 3.70s gen, 0.015s retrieval, 0.090s rerank
[open_ended/linear] Q010: 3.90s gen, 0.020s retrieval, 0.135s rerank
[open_ended/linear] Q011: 5.58s gen, 0.026s retrieval, 0.117s rerank
[open_ended/linear] Q012: 4.69s gen, 0.023s retrieval, 0.071s rerank
[open_ended/linear] Q013: 6.27s gen, 0.020s retrieval, 0.125s rerank
[open_ended/linear] Q014: 8.78s gen, 0.022s retrieval, 0.128s rerank
[open_ended/linear] Q015: 5.30s gen, 0.022s retrieval, 0.389s rerank
[open_ended/linear] Q016: 11.30s gen, 0.023s retrieval, 0.184s rerank
[open_ended/linear] Q017: 7.95s gen, 0.023s retrieval, 0.098s rerank
[open_ended/linear] Q018: 4.20s gen, 0.026s retrieval, 0.096s rerank
[open_ended/linear] Q019: 3.88s gen, 0.019s retrieval, 0.063s rerank
[open_ended/linear] Q020: 3.62s gen, 0.018s retrieval, 0.108s rerank
[open_ended/linear] Q021: 9.54s gen, 0.025s retrieval, 0.173s rerank
[open_ended/linear] Q022: 5.87s gen, 0.026s retrieval, 0.079s rerank
[open_ended/linear] Q023: 9.79s gen, 0.031s retrieval, 0.227s rerank
[open_ended/linear] Q024: 8.45s gen, 0.026s retrieval, 0.120s rerank
[open_ended/linear] Q025: 9.30s gen, 0.024s retrieval, 0.118s rerank
[open_ended/linear] Q026: 6.39s gen, 0.022s retrieval, 0.115s rerank
[open_ended/linear] Q027: 8.64s gen, 0.021s retrieval, 0.112s rerank
[open_ended/linear] Q028: 4.18s gen, 0.020s retrieval, 0.103s rerank
[open_ended/linear] Q029: 7.82s gen, 0.022s retrieval, 0.119s rerank
[open_ended/linear] Q030: 4.79s gen, 0.026s retrieval, 0.072s rerank
[open_ended/linear] Q031: 17.50s gen, 0.029s retrieval, 0.185s rerank
[open_ended/linear] Q032: 3.83s gen, 0.021s retrieval, 0.142s rerank
[open_ended/linear] Q033: 11.75s gen, 0.024s retrieval, 0.121s rerank
[open_ended/linear] Q034: 7.33s gen, 0.025s retrieval, 0.120s rerank
[open_ended/linear] Q035: 7.21s gen, 0.018s retrieval, 0.079s rerank
[open_ended/linear] Q036: 4.20s gen, 0.018s retrieval, 0.360s rerank
[open_ended/linear] Q037: 8.66s gen, 0.019s retrieval, 0.260s rerank
[open_ended/linear] Q038: 6.22s gen, 0.019s retrieval, 0.137s rerank
[open_ended/linear] Q039: 5.37s gen, 0.022s retrieval, 0.134s rerank
[open_ended/linear] Q040: 5.53s gen, 0.025s retrieval, 0.159s rerank
[open_ended/linear] Q041: 9.18s gen, 0.024s retrieval, 0.111s rerank
[open_ended/linear] Q042: 5.79s gen, 0.022s retrieval, 0.065s rerank
[open_ended/linear] Q043: 6.09s gen, 0.023s retrieval, 0.069s rerank
[open_ended/linear] Q044: 4.09s gen, 0.023s retrieval, 0.092s rerank
[open_ended/linear] Q045: 7.78s gen, 0.017s retrieval, 0.148s rerank
[open_ended/linear] Q046: 6.07s gen, 0.021s retrieval, 0.087s rerank
[open_ended/linear] Q047: 12.36s gen, 0.027s retrieval, 0.175s rerank
[open_ended/linear] Q048: 19.89s gen, 0.026s retrieval, 0.194s rerank
[open_ended/linear] Q049: 6.60s gen, 0.026s retrieval, 0.259s rerank
[open_ended/linear] Q050: 6.69s gen, 0.028s retrieval, 0.185s rerank
[open_ended/linear] Q051: 8.38s gen, 0.024s retrieval, 0.155s rerank
[open_ended/linear] Q052: 5.24s gen, 0.028s retrieval, 0.158s rerank
[open_ended/linear] Q053: 4.04s gen, 0.024s retrieval, 0.148s rerank
[open_ended/linear] Q054: 5.97s gen, 0.023s retrieval, 0.136s rerank
[open_ended/linear] Q055: 4.93s gen, 0.024s retrieval, 0.132s rerank
[open_ended/linear] Q056: 5.91s gen, 0.022s retrieval, 0.120s rerank
[open_ended/linear] Q057: 4.47s gen, 0.021s retrieval, 0.069s rerank
[entity_heavy/rrf] Q058: 4.38s gen, 0.026s retrieval, 0.100s rerank
[open_ended/linear] Q059: 18.65s gen, 0.027s retrieval, 0.205s rerank
[open_ended/linear] Q060: 14.86s gen, 0.026s retrieval, 0.158s rerank
[open_ended/linear] Q061: 6.96s gen, 0.021s retrieval, 0.076s rerank
[open_ended/linear] Q062: 8.63s gen, 0.026s retrieval, 0.211s rerank
[open_ended/linear] Q063: 6.65s gen, 0.028s retrieval, 0.472s rerank
[open_ended/linear] Q064: 7.28s gen, 0.022s retrieval, 0.104s rerank
[open_ended/linear] Q065: 4.34s gen, 0.026s retrieval, 0.193s rerank
[open_ended/linear] Q066: 7.88s gen, 0.023s retrieval, 0.269s rerank
[open_ended/linear] Q067: 12.87s gen, 0.025s retrieval, 0.230s rerank
[open_ended/linear] Q068: 4.84s gen, 0.022s retrieval, 0.167s rerank
[open_ended/linear] Q069: 8.95s gen, 0.021s retrieval, 0.126s rerank
[open_ended/linear] Q070: 6.03s gen, 0.027s retrieval, 0.143s rerank
