.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6567.45it/s]
[full_hybrid] Q001: 20.98s gen, 0.041s retrieval
[full_hybrid] Q002: 6.57s gen, 0.032s retrieval
[full_hybrid] Q003: 9.42s gen, 0.019s retrieval
[full_hybrid] Q004: 4.64s gen, 0.024s retrieval
[full_hybrid] Q005: 8.19s gen, 0.023s retrieval
[full_hybrid] Q006: 5.16s gen, 0.016s retrieval
[full_hybrid] Q007: 11.43s gen, 0.023s retrieval
[full_hybrid] Q008: 5.04s gen, 0.022s retrieval
[full_hybrid] Q009: 3.76s gen, 0.016s retrieval
[full_hybrid] Q010: 3.81s gen, 0.020s retrieval
[full_hybrid] Q011: 9.97s gen, 0.024s retrieval
[full_hybrid] Q012: 4.76s gen, 0.021s retrieval
[full_hybrid] Q013: 6.28s gen, 0.021s retrieval
[full_hybrid] Q014: 9.34s gen, 0.022s retrieval
[full_hybrid] Q015: 5.37s gen, 0.026s retrieval
[full_hybrid] Q016: 11.69s gen, 0.021s retrieval
[full_hybrid] Q017: 8.02s gen, 0.020s retrieval
[full_hybrid] Q018: 4.21s gen, 0.022s retrieval
[full_hybrid] Q019: 3.82s gen, 0.020s retrieval
[full_hybrid] Q020: 3.65s gen, 0.018s retrieval
[full_hybrid] Q021: 8.50s gen, 0.025s retrieval
[full_hybrid] Q022: 6.12s gen, 0.023s retrieval
