.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6578.15it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 4731.03it/s]
[open_ended/linear] Q001: 11.44s gen, 0.055s retrieval, 0.191s rerank
[open_ended/linear] Q002: 6.68s gen, 0.031s retrieval, 0.165s rerank
[open_ended/linear] Q003: 9.50s gen, 0.024s retrieval, 0.190s rerank
[open_ended/linear] Q004: 4.67s gen, 0.026s retrieval, 0.086s rerank
[open_ended/linear] Q005: 8.21s gen, 0.022s retrieval, 0.136s rerank
[open_ended/linear] Q006: 5.15s gen, 0.016s retrieval, 0.106s rerank
[open_ended/linear] Q007: 12.40s gen, 0.022s retrieval, 0.142s rerank
[open_ended/linear] Q008: 4.31s gen, 0.026s retrieval, 0.311s rerank
[open_ended/linear] Q009: 3.70s gen, 0.016s retrieval, 0.090s rerank
[open_ended/linear] Q010: 3.89s gen, 0.020s retrieval, 0.133s rerank
[open_ended/linear] Q011: 5.60s gen, 0.028s retrieval, 0.120s rerank
[open_ended/linear] Q012: 4.74s gen, 0.022s retrieval, 0.064s rerank
[open_ended/linear] Q013: 6.35s gen, 0.021s retrieval, 0.130s rerank
[open_ended/linear] Q014: 8.68s gen, 0.020s retrieval, 0.120s rerank
[open_ended/linear] Q015: 5.28s gen, 0.021s retrieval, 0.387s rerank
[open_ended/linear] Q016: 11.33s gen, 0.022s retrieval, 0.179s rerank
[open_ended/linear] Q017: 8.30s gen, 0.023s retrieval, 0.096s rerank
[open_ended/linear] Q018: 4.26s gen, 0.024s retrieval, 0.099s rerank
[open_ended/linear] Q019: 3.87s gen, 0.020s retrieval, 0.060s rerank
[open_ended/linear] Q020: 3.64s gen, 0.021s retrieval, 0.105s rerank
[open_ended/linear] Q021: 9.84s gen, 0.026s retrieval, 0.173s rerank
[open_ended/linear] Q022: 6.03s gen, 0.025s retrieval, 0.080s rerank
[open_ended/linear] Q023: 10.07s gen, 0.033s retrieval, 0.222s rerank
[open_ended/linear] Q024: 8.63s gen, 0.029s retrieval, 0.118s rerank
[open_ended/linear] Q025: 9.46s gen, 0.026s retrieval, 0.122s rerank
[open_ended/linear] Q026: 6.50s gen, 0.020s retrieval, 0.117s rerank
[open_ended/linear] Q027: 8.65s gen, 0.021s retrieval, 0.115s rerank
[open_ended/linear] Q028: 4.16s gen, 0.020s retrieval, 0.100s rerank
[open_ended/linear] Q029: 7.95s gen, 0.022s retrieval, 0.118s rerank
[open_ended/linear] Q030: 4.88s gen, 0.025s retrieval, 0.075s rerank
[open_ended/linear] Q031: 18.26s gen, 0.031s retrieval, 0.187s rerank
[open_ended/linear] Q032: 3.81s gen, 0.020s retrieval, 0.146s rerank
