.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4494.24it/s]
[vector_only] Q001: 22.24s gen, 0.073s retrieval
[vector_only] Q002: 6.73s gen, 0.037s retrieval
[vector_only] Q003: 9.68s gen, 0.020s retrieval
[vector_only] Q004: 4.83s gen, 0.026s retrieval
[vector_only] Q005: 8.31s gen, 0.024s retrieval
[vector_only] Q006: 5.20s gen, 0.017s retrieval
[vector_only] Q007: 12.74s gen, 0.022s retrieval
[vector_only] Q008: 4.39s gen, 0.024s retrieval
[vector_only] Q009: 3.91s gen, 0.016s retrieval
[vector_only] Q010: 3.73s gen, 0.025s retrieval
[vector_only] Q011: 7.58s gen, 0.025s retrieval
[vector_only] Q012: 4.81s gen, 0.023s retrieval
[vector_only] Q013: 6.24s gen, 0.022s retrieval
[vector_only] Q014: 10.77s gen, 0.021s retrieval
[vector_only] Q015: 5.31s gen, 0.022s retrieval
[vector_only] Q016: 11.63s gen, 0.020s retrieval
[vector_only] Q017: 8.67s gen, 0.021s retrieval
[vector_only] Q018: 4.15s gen, 0.023s retrieval
[vector_only] Q019: 4.12s gen, 0.022s retrieval
[vector_only] Q020: 3.64s gen, 0.020s retrieval
[vector_only] Q021: 9.97s gen, 0.021s retrieval
[vector_only] Q022: 6.55s gen, 0.023s retrieval
[vector_only] Q023: 10.37s gen, 0.035s retrieval
[vector_only] Q024: 8.74s gen, 0.025s retrieval
[vector_only] Q025: 9.12s gen, 0.021s retrieval
[vector_only] Q026: 6.61s gen, 0.022s retrieval
