.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --no-reranke ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6869.68it/s]
[open_ended/linear] Q001: 20.59s gen, 0.039s retrieval, 0.000s rerank
[open_ended/linear] Q002: 6.55s gen, 0.030s retrieval, 0.000s rerank
[open_ended/linear] Q003: 8.89s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q004: 4.72s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q005: 8.21s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q006: 5.02s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q007: 12.32s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q008: 4.26s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q009: 3.69s gen, 0.015s retrieval, 0.000s rerank
[open_ended/linear] Q010: 3.68s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q011: 5.89s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q012: 4.82s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q013: 6.38s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q014: 9.37s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q015: 5.18s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q016: 11.49s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q017: 8.09s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q018: 4.28s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q019: 3.93s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q020: 3.59s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q021: 9.75s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q022: 6.06s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q023: 10.32s gen, 0.035s retrieval, 0.000s rerank
[open_ended/linear] Q024: 8.93s gen, 0.033s retrieval, 0.000s rerank
[open_ended/linear] Q025: 9.20s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q026: 6.64s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q027: 9.01s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q028: 4.22s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q029: 7.93s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] Q030: 4.75s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q031: 17.81s gen, 0.028s retrieval, 0.000s rerank
[open_ended/linear] Q032: 4.16s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] Q033: 11.91s gen, 0.024s retrieval, 0.000s rerank
