.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6586.47it/s]
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits 
and faster downloads.

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6699.15it/s]
[open_ended/linear] Q001: 10.78s gen, 0.058s retrieval, 0.199s rerank
[open_ended/linear] Q002: 6.59s gen, 0.029s retrieval, 0.196s rerank
[open_ended/linear] Q003: 8.87s gen, 0.022s retrieval, 0.154s rerank
[open_ended/linear] Q004: 4.76s gen, 0.026s retrieval, 0.083s rerank
[open_ended/linear] Q005: 8.11s gen, 0.023s retrieval, 0.138s rerank
[open_ended/linear] Q006: 5.02s gen, 0.016s retrieval, 0.114s rerank
[open_ended/linear] Q007: 12.28s gen, 0.022s retrieval, 0.145s rerank
[open_ended/linear] Q008: 4.28s gen, 0.026s retrieval, 0.070s rerank
[open_ended/linear] Q009: 3.68s gen, 0.016s retrieval, 0.059s rerank
[open_ended/linear] Q010: 3.84s gen, 0.024s retrieval, 0.133s rerank
[open_ended/linear] Q011: 5.53s gen, 0.024s retrieval, 0.120s rerank
[open_ended/linear] Q012: 4.66s gen, 0.025s retrieval, 0.071s rerank
[open_ended/linear] Q013: 6.18s gen, 0.020s retrieval, 0.131s rerank
[open_ended/linear] Q014: 8.64s gen, 0.020s retrieval, 0.128s rerank
[open_ended/linear] Q015: 5.20s gen, 0.023s retrieval, 0.150s rerank
[open_ended/linear] Q016: 11.43s gen, 0.024s retrieval, 0.196s rerank
[open_ended/linear] Q017: 8.08s gen, 0.025s retrieval, 0.104s rerank
[open_ended/linear] Q018: 4.13s gen, 0.022s retrieval, 0.089s rerank
[open_ended/linear] Q019: 3.83s gen, 0.020s retrieval, 0.071s rerank
[open_ended/linear] Q020: 3.61s gen, 0.024s retrieval, 0.095s rerank
[open_ended/linear] Q021: 9.59s gen, 0.024s retrieval, 0.181s rerank
[open_ended/linear] Q022: 6.06s gen, 0.024s retrieval, 0.080s rerank
[open_ended/linear] Q023: 10.08s gen, 0.037s retrieval, 0.240s rerank
[open_ended/linear] Q024: 8.52s gen, 0.031s retrieval, 0.129s rerank
[open_ended/linear] Q025: 9.00s gen, 0.025s retrieval, 0.143s rerank
[open_ended/linear] Q026: 6.50s gen, 0.020s retrieval, 0.124s rerank
[open_ended/linear] Q027: 8.59s gen, 0.020s retrieval, 0.111s rerank
[open_ended/linear] Q028: 4.10s gen, 0.018s retrieval, 0.103s rerank
[open_ended/linear] Q029: 7.84s gen, 0.022s retrieval, 0.126s rerank
[open_ended/linear] Q030: 4.90s gen, 0.026s retrieval, 0.075s rerank
[open_ended/linear] Q031: 17.60s gen, 0.030s retrieval, 0.246s rerank
[open_ended/linear] Q032: 3.88s gen, 0.021s retrieval, 0.245s rerank
[open_ended/linear] Q033: 12.37s gen, 0.027s retrieval, 0.162s rerank
[open_ended/linear] Q034: 7.57s gen, 0.027s retrieval, 0.243s rerank
[open_ended/linear] Q035: 7.31s gen, 0.019s retrieval, 0.083s rerank
[open_ended/linear] Q036: 4.06s gen, 0.027s retrieval, 0.113s rerank
[open_ended/linear] Q037: 8.58s gen, 0.022s retrieval, 0.145s rerank
[open_ended/linear] Q038: 6.30s gen, 0.022s retrieval, 0.123s rerank
[open_ended/linear] Q039: 5.20s gen, 0.020s retrieval, 0.083s rerank
[open_ended/linear] Q040: 5.59s gen, 0.026s retrieval, 0.177s rerank
[open_ended/linear] Q041: 9.14s gen, 0.024s retrieval, 0.127s rerank
[open_ended/linear] Q042: 5.72s gen, 0.024s retrieval, 0.069s rerank
[open_ended/linear] Q043: 6.13s gen, 0.020s retrieval, 0.072s rerank
[open_ended/linear] Q044: 4.07s gen, 0.027s retrieval, 0.097s rerank
[open_ended/linear] Q045: 8.11s gen, 0.016s retrieval, 0.122s rerank
[open_ended/linear] Q046: 6.06s gen, 0.022s retrieval, 0.095s rerank
[open_ended/linear] Q047: 12.65s gen, 0.030s retrieval, 0.178s rerank
[open_ended/linear] Q048: 20.07s gen, 0.025s retrieval, 0.245s rerank
[open_ended/linear] Q049: 6.01s gen, 0.029s retrieval, 0.116s rerank
[open_ended/linear] Q050: 6.70s gen, 0.029s retrieval, 0.191s rerank
[open_ended/linear] Q051: 8.48s gen, 0.024s retrieval, 0.170s rerank
[open_ended/linear] Q052: 5.36s gen, 0.030s retrieval, 0.172s rerank
[open_ended/linear] Q053: 3.96s gen, 0.026s retrieval, 0.161s rerank
[open_ended/linear] Q054: 6.03s gen, 0.022s retrieval, 0.199s rerank
[open_ended/linear] Q055: 4.94s gen, 0.024s retrieval, 0.144s rerank
[open_ended/linear] Q056: 6.06s gen, 0.023s retrieval, 0.134s rerank
[open_ended/linear] Q057: 4.53s gen, 0.019s retrieval, 0.076s rerank
[entity_heavy/rrf] Q058: 4.52s gen, 0.027s retrieval, 0.114s rerank
[open_ended/linear] Q059: 20.05s gen, 0.044s retrieval, 0.242s rerank
[open_ended/linear] Q060: 15.98s gen, 0.030s retrieval, 0.178s rerank
[open_ended/linear] Q061: 7.24s gen, 0.022s retrieval, 0.088s rerank
[open_ended/linear] Q062: 9.01s gen, 0.025s retrieval, 0.151s rerank
[open_ended/linear] Q063: 7.00s gen, 0.032s retrieval, 0.516s rerank
[open_ended/linear] Q064: 7.59s gen, 0.026s retrieval, 0.143s rerank
[open_ended/linear] Q065: 4.00s gen, 0.027s retrieval, 0.082s rerank
[open_ended/linear] Q066: 7.94s gen, 0.024s retrieval, 0.314s rerank
[open_ended/linear] Q067: 12.70s gen, 0.029s retrieval, 0.258s rerank
[open_ended/linear] Q068: 4.78s gen, 0.023s retrieval, 0.102s rerank
[open_ended/linear] Q069: 9.47s gen, 0.026s retrieval, 0.137s rerank
[open_ended/linear] Q070: 6.16s gen, 0.032s retrieval, 0.125s rerank
[open_ended/linear] Q071: 6.41s gen, 0.037s retrieval, 0.223s rerank
[open_ended/linear] Q072: 11.99s gen, 0.025s retrieval, 0.130s rerank
[open_ended/linear] Q073: 17.83s gen, 0.029s retrieval, 0.325s rerank
[open_ended/linear] Q074: 4.77s gen, 0.024s retrieval, 0.083s rerank
[open_ended/linear] Q075: 6.22s gen, 0.023s retrieval, 0.125s rerank
[open_ended/linear] Q076: 7.73s gen, 0.024s retrieval, 0.100s rerank
[open_ended/linear] Q077: 3.65s gen, 0.024s retrieval, 0.065s rerank
[open_ended/linear] Q078: 5.23s gen, 0.026s retrieval, 0.096s rerank
[open_ended/linear] Q079: 7.81s gen, 0.024s retrieval, 0.081s rerank
[open_ended/linear] Q080: 7.91s gen, 0.023s retrieval, 0.114s rerank
[open_ended/linear] Q081: 0.00s gen, 0.020s retrieval, 0.346s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.28s gen, 0.025s retrieval, 0.095s rerank
[open_ended/linear] Q083: 7.23s gen, 0.027s retrieval, 0.122s rerank
[open_ended/linear] Q084: 5.92s gen, 0.029s retrieval, 0.164s rerank
