python : 
At line:5 char:1
+ python -u scripts/run_novel_pipeline.py --queries data/test_queries_b ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 5049.60it/s]
[open_ended/linear] BQ001: 9.26s gen, 0.160s retrieval, 0.000s rerank
[open_ended/linear] BQ002: 3.96s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] BQ003: 5.71s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] BQ004: 4.15s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] BQ005: 5.42s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ006: 52.49s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ007: 5.20s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ008: 4.75s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] BQ009: 3.85s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ010: 5.53s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ011: 5.25s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ012: 11.43s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ013: 9.24s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ014: 7.68s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ015: 5.34s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ016: 0.00s gen, 0.016s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] BQ017: 7.49s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ018: 4.29s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ019: 3.88s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] BQ020: 5.30s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ021: 5.36s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ022: 6.51s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ023: 6.29s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] BQ024: 4.88s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ025: 5.09s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] BQ026: 7.59s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ027: 9.18s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ028: 4.08s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ029: 15.01s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ030: 4.65s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ031: 9.27s gen, 0.015s retrieval, 0.000s rerank
[open_ended/linear] BQ032: 4.10s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ033: 4.15s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ034: 8.66s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ035: 7.32s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ036: 5.21s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] BQ037: 6.01s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] BQ038: 4.43s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] BQ039: 4.50s gen, 0.018s retrieval, 0.000s rerank
