python : 
At line:7 char:1
+ python -u scripts/run_novel_pipeline.py --out results/novel_pipeline_ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4346.04it/s]
[open_ended/linear] Q001: 23.03s gen, 0.067s retrieval, 0.000s rerank
[open_ended/linear] Q002: 7.26s gen, 0.032s retrieval, 0.000s rerank
[open_ended/linear] Q003: 11.14s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q004: 5.37s gen, 0.032s retrieval, 0.000s rerank
[open_ended/linear] Q005: 9.61s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q006: 5.84s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q007: 15.08s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q008: 4.77s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q009: 4.02s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q010: 4.03s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q011: 5.89s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q012: 5.05s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q013: 6.93s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q014: 9.97s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q015: 5.83s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] Q016: 13.75s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q017: 9.46s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q018: 4.27s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q019: 3.92s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q020: 3.76s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] Q021: 10.69s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q022: 6.55s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q023: 11.90s gen, 0.030s retrieval, 0.000s rerank
[open_ended/linear] Q024: 10.01s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q025: 9.05s gen, 0.028s retrieval, 0.000s rerank
[open_ended/linear] Q026: 6.50s gen, 0.019s retrieval, 0.000s rerank
