python : 
At line:6 char:1
+ python -u scripts/run_novel_pipeline.py --use-reranker --out results/ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4980.84it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 5079.67it/s]
[open_ended/linear] Q001: 11.93s gen, 0.107s retrieval, 0.013s rerank
[open_ended/linear] Q002: 6.98s gen, 0.023s retrieval, 0.063s rerank
[open_ended/linear] Q003: 9.86s gen, 0.016s retrieval, 0.039s rerank
[open_ended/linear] Q004: 5.12s gen, 0.024s retrieval, 0.029s rerank
[open_ended/linear] Q005: 8.23s gen, 0.020s retrieval, 0.020s rerank
[open_ended/linear] Q006: 5.29s gen, 0.014s retrieval, 0.032s rerank
[open_ended/linear] Q007: 12.77s gen, 0.018s retrieval, 0.026s rerank
[open_ended/linear] Q008: 4.41s gen, 0.017s retrieval, 0.026s rerank
[open_ended/linear] Q009: 3.72s gen, 0.016s retrieval, 0.010s rerank
[open_ended/linear] Q010: 4.74s gen, 0.018s retrieval, 0.014s rerank
[open_ended/linear] Q011: 8.45s gen, 0.022s retrieval, 0.020s rerank
[open_ended/linear] Q012: 5.17s gen, 0.019s retrieval, 0.019s rerank
[open_ended/linear] Q013: 6.22s gen, 0.019s retrieval, 0.020s rerank
[open_ended/linear] Q014: 8.65s gen, 0.016s retrieval, 0.025s rerank
[open_ended/linear] Q015: 5.49s gen, 0.018s retrieval, 0.042s rerank
[open_ended/linear] Q016: 12.20s gen, 0.020s retrieval, 0.030s rerank
[open_ended/linear] Q017: 8.13s gen, 0.017s retrieval, 0.038s rerank
[open_ended/linear] Q018: 4.45s gen, 0.021s retrieval, 0.024s rerank
[open_ended/linear] Q019: 3.91s gen, 0.017s retrieval, 0.011s rerank
[open_ended/linear] Q020: 3.63s gen, 0.015s retrieval, 0.012s rerank
[open_ended/linear] Q021: 9.56s gen, 0.019s retrieval, 0.019s rerank
[open_ended/linear] Q022: 6.84s gen, 0.020s retrieval, 0.029s rerank
[open_ended/linear] Q023: 10.48s gen, 0.026s retrieval, 0.052s rerank
[open_ended/linear] Q024: 8.60s gen, 0.022s retrieval, 0.040s rerank
[open_ended/linear] Q025: 10.11s gen, 0.018s retrieval, 0.032s rerank
[open_ended/linear] Q026: 6.53s gen, 0.018s retrieval, 0.037s rerank
[open_ended/linear] Q027: 13.59s gen, 0.019s retrieval, 0.022s rerank
[open_ended/linear] Q028: 4.11s gen, 0.017s retrieval, 0.036s rerank
[open_ended/linear] Q029: 8.23s gen, 0.020s retrieval, 0.014s rerank
[open_ended/linear] Q030: 4.78s gen, 0.018s retrieval, 0.025s rerank
[open_ended/linear] Q031: 17.81s gen, 0.026s retrieval, 0.035s rerank
[open_ended/linear] Q032: 4.00s gen, 0.018s retrieval, 0.081s rerank
[open_ended/linear] Q033: 12.16s gen, 0.020s retrieval, 0.017s rerank
[open_ended/linear] Q034: 8.43s gen, 0.020s retrieval, 0.079s rerank
[open_ended/linear] Q035: 7.49s gen, 0.016s retrieval, 0.022s rerank
[open_ended/linear] Q036: 4.06s gen, 0.017s retrieval, 0.024s rerank
[open_ended/linear] Q037: 8.67s gen, 0.016s retrieval, 0.015s rerank
[open_ended/linear] Q038: 6.15s gen, 0.018s retrieval, 0.033s rerank
[open_ended/linear] Q039: 5.17s gen, 0.016s retrieval, 0.018s rerank
[open_ended/linear] Q040: 5.62s gen, 0.025s retrieval, 0.026s rerank
[open_ended/linear] Q041: 9.13s gen, 0.019s retrieval, 0.022s rerank
[open_ended/linear] Q042: 5.67s gen, 0.018s retrieval, 0.021s rerank
[open_ended/linear] Q043: 6.05s gen, 0.019s retrieval, 0.014s rerank
[open_ended/linear] Q044: 4.19s gen, 0.024s retrieval, 0.019s rerank
[open_ended/linear] Q045: 7.77s gen, 0.012s retrieval, 0.014s rerank
[open_ended/linear] Q046: 5.63s gen, 0.015s retrieval, 0.024s rerank
[open_ended/linear] Q047: 9.79s gen, 0.018s retrieval, 0.030s rerank
[open_ended/linear] Q048: 9.92s gen, 0.017s retrieval, 0.058s rerank
[open_ended/linear] Q049: 5.96s gen, 0.024s retrieval, 0.033s rerank
[open_ended/linear] Q050: 6.64s gen, 0.022s retrieval, 0.032s rerank
[open_ended/linear] Q051: 8.34s gen, 0.018s retrieval, 0.033s rerank
[open_ended/linear] Q052: 6.87s gen, 0.021s retrieval, 0.042s rerank
[open_ended/linear] Q053: 4.04s gen, 0.018s retrieval, 0.035s rerank
[open_ended/linear] Q054: 5.92s gen, 0.017s retrieval, 0.014s rerank
[open_ended/linear] Q055: 4.86s gen, 0.020s retrieval, 0.025s rerank
[open_ended/linear] Q056: 5.90s gen, 0.017s retrieval, 0.019s rerank
[open_ended/linear] Q057: 5.73s gen, 0.017s retrieval, 0.015s rerank
[entity_heavy/rrf] Q058: 4.47s gen, 0.019s retrieval, 0.022s rerank
[open_ended/linear] Q059: 18.95s gen, 0.021s retrieval, 0.021s rerank
[open_ended/linear] Q060: 14.75s gen, 0.023s retrieval, 0.058s rerank
[open_ended/linear] Q061: 6.88s gen, 0.017s retrieval, 0.031s rerank
[open_ended/linear] Q062: 8.69s gen, 0.023s retrieval, 0.028s rerank
[open_ended/linear] Q063: 8.61s gen, 0.019s retrieval, 0.131s rerank
[open_ended/linear] Q064: 7.32s gen, 0.021s retrieval, 0.034s rerank
[open_ended/linear] Q065: 4.14s gen, 0.021s retrieval, 0.021s rerank
[open_ended/linear] Q066: 7.81s gen, 0.019s retrieval, 0.025s rerank
[open_ended/linear] Q067: 12.72s gen, 0.022s retrieval, 0.057s rerank
[open_ended/linear] Q068: 4.76s gen, 0.018s retrieval, 0.038s rerank
[open_ended/linear] Q069: 8.82s gen, 0.019s retrieval, 0.020s rerank
[open_ended/linear] Q070: 6.16s gen, 0.021s retrieval, 0.034s rerank
[open_ended/linear] Q071: 11.05s gen, 0.025s retrieval, 0.038s rerank
[open_ended/linear] Q072: 11.18s gen, 0.018s retrieval, 0.042s rerank
[open_ended/linear] Q073: 12.69s gen, 0.018s retrieval, 0.100s rerank
[open_ended/linear] Q074: 4.89s gen, 0.019s retrieval, 0.032s rerank
[open_ended/linear] Q075: 6.13s gen, 0.016s retrieval, 0.019s rerank
[open_ended/linear] Q076: 7.70s gen, 0.016s retrieval, 0.024s rerank
[open_ended/linear] Q077: 3.60s gen, 0.018s retrieval, 0.018s rerank
[open_ended/linear] Q078: 5.23s gen, 0.018s retrieval, 0.012s rerank
[open_ended/linear] Q079: 5.66s gen, 0.022s retrieval, 0.016s rerank
[open_ended/linear] Q080: 7.86s gen, 0.014s retrieval, 0.020s rerank
[open_ended/linear] Q081: 0.00s gen, 0.015s retrieval, 0.072s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.40s gen, 0.017s retrieval, 0.029s rerank
[open_ended/linear] Q083: 7.40s gen, 0.019s retrieval, 0.024s rerank
[open_ended/linear] Q084: 7.69s gen, 0.024s retrieval, 0.036s rerank
[open_ended/linear] Q085: 8.22s gen, 0.022s retrieval, 0.031s rerank
[open_ended/linear] Q086: 7.31s gen, 0.019s retrieval, 0.028s rerank
