python : 
At line:5 char:1
+ python -u scripts/run_novel_pipeline.py --use-reranker --out results/ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4939.78it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 7589.21it/s]
[open_ended/linear] Q001: 21.63s gen, 0.063s retrieval, 0.013s rerank
[open_ended/linear] Q002: 6.97s gen, 0.030s retrieval, 0.063s rerank
[open_ended/linear] Q003: 9.66s gen, 0.021s retrieval, 0.039s rerank
[open_ended/linear] Q004: 4.80s gen, 0.020s retrieval, 0.030s rerank
[open_ended/linear] Q005: 8.47s gen, 0.018s retrieval, 0.022s rerank
[open_ended/linear] Q006: 5.24s gen, 0.013s retrieval, 0.033s rerank
[open_ended/linear] Q007: 12.87s gen, 0.019s retrieval, 0.027s rerank
[open_ended/linear] Q008: 4.49s gen, 0.021s retrieval, 0.026s rerank
[open_ended/linear] Q009: 3.73s gen, 0.014s retrieval, 0.010s rerank
[open_ended/linear] Q010: 4.89s gen, 0.016s retrieval, 0.016s rerank
[open_ended/linear] Q011: 10.33s gen, 0.020s retrieval, 0.020s rerank
[open_ended/linear] Q012: 4.80s gen, 0.018s retrieval, 0.024s rerank
[open_ended/linear] Q013: 6.42s gen, 0.018s retrieval, 0.015s rerank
[open_ended/linear] Q014: 8.96s gen, 0.015s retrieval, 0.027s rerank
[open_ended/linear] Q015: 5.32s gen, 0.020s retrieval, 0.046s rerank
[open_ended/linear] Q016: 13.13s gen, 0.016s retrieval, 0.031s rerank
[open_ended/linear] Q017: 8.44s gen, 0.019s retrieval, 0.040s rerank
[open_ended/linear] Q018: 4.34s gen, 0.020s retrieval, 0.026s rerank
[open_ended/linear] Q019: 3.92s gen, 0.017s retrieval, 0.011s rerank
[open_ended/linear] Q020: 3.69s gen, 0.017s retrieval, 0.013s rerank
[open_ended/linear] Q021: 9.96s gen, 0.020s retrieval, 0.018s rerank
[open_ended/linear] Q022: 6.14s gen, 0.016s retrieval, 0.030s rerank
[open_ended/linear] Q023: 11.22s gen, 0.024s retrieval, 0.047s rerank
[open_ended/linear] Q024: 9.01s gen, 0.025s retrieval, 0.046s rerank
[open_ended/linear] Q025: 11.19s gen, 0.022s retrieval, 0.038s rerank
[open_ended/linear] Q026: 6.67s gen, 0.024s retrieval, 0.045s rerank
[open_ended/linear] Q027: 9.06s gen, 0.017s retrieval, 0.024s rerank
[open_ended/linear] Q028: 4.17s gen, 0.016s retrieval, 0.032s rerank
[open_ended/linear] Q029: 8.03s gen, 0.021s retrieval, 0.014s rerank
[open_ended/linear] Q030: 5.03s gen, 0.019s retrieval, 0.024s rerank
[open_ended/linear] Q031: 18.76s gen, 0.021s retrieval, 0.036s rerank
[open_ended/linear] Q032: 4.26s gen, 0.016s retrieval, 0.102s rerank
[open_ended/linear] Q033: 12.72s gen, 0.017s retrieval, 0.016s rerank
[open_ended/linear] Q034: 8.54s gen, 0.018s retrieval, 0.076s rerank
[open_ended/linear] Q035: 7.35s gen, 0.018s retrieval, 0.027s rerank
[open_ended/linear] Q036: 4.19s gen, 0.016s retrieval, 0.025s rerank
[open_ended/linear] Q037: 9.46s gen, 0.020s retrieval, 0.016s rerank
[open_ended/linear] Q038: 6.41s gen, 0.020s retrieval, 0.040s rerank
[open_ended/linear] Q039: 5.44s gen, 0.019s retrieval, 0.020s rerank
[open_ended/linear] Q040: 5.90s gen, 0.018s retrieval, 0.031s rerank
[open_ended/linear] Q041: 9.47s gen, 0.019s retrieval, 0.023s rerank
[open_ended/linear] Q042: 5.89s gen, 0.020s retrieval, 0.023s rerank
[open_ended/linear] Q043: 6.22s gen, 0.022s retrieval, 0.017s rerank
[open_ended/linear] Q044: 4.23s gen, 0.021s retrieval, 0.021s rerank
[open_ended/linear] Q045: 8.25s gen, 0.019s retrieval, 0.014s rerank
[open_ended/linear] Q046: 6.08s gen, 0.015s retrieval, 0.026s rerank
[open_ended/linear] Q047: 10.30s gen, 0.022s retrieval, 0.037s rerank
[open_ended/linear] Q048: 9.97s gen, 0.021s retrieval, 0.067s rerank
[open_ended/linear] Q049: 6.02s gen, 0.027s retrieval, 0.035s rerank
[open_ended/linear] Q050: 6.66s gen, 0.022s retrieval, 0.033s rerank
[open_ended/linear] Q051: 8.55s gen, 0.020s retrieval, 0.033s rerank
[open_ended/linear] Q052: 6.93s gen, 0.021s retrieval, 0.043s rerank
[open_ended/linear] Q053: 3.95s gen, 0.020s retrieval, 0.033s rerank
[open_ended/linear] Q054: 5.92s gen, 0.019s retrieval, 0.015s rerank
[open_ended/linear] Q055: 4.76s gen, 0.017s retrieval, 0.025s rerank
[open_ended/linear] Q056: 5.87s gen, 0.023s retrieval, 0.019s rerank
[open_ended/linear] Q057: 5.44s gen, 0.016s retrieval, 0.015s rerank
[entity_heavy/rrf] Q058: 4.47s gen, 0.023s retrieval, 0.020s rerank
[open_ended/linear] Q059: 18.63s gen, 0.020s retrieval, 0.020s rerank
[open_ended/linear] Q060: 14.73s gen, 0.022s retrieval, 0.060s rerank
[open_ended/linear] Q061: 6.95s gen, 0.019s retrieval, 0.033s rerank
[open_ended/linear] Q062: 8.66s gen, 0.017s retrieval, 0.028s rerank
[open_ended/linear] Q063: 8.36s gen, 0.021s retrieval, 0.139s rerank
[open_ended/linear] Q064: 7.33s gen, 0.022s retrieval, 0.031s rerank
[open_ended/linear] Q065: 4.17s gen, 0.022s retrieval, 0.022s rerank
[open_ended/linear] Q066: 7.83s gen, 0.017s retrieval, 0.025s rerank
[open_ended/linear] Q067: 12.94s gen, 0.019s retrieval, 0.058s rerank
[open_ended/linear] Q068: 4.78s gen, 0.020s retrieval, 0.037s rerank
[open_ended/linear] Q069: 8.87s gen, 0.016s retrieval, 0.020s rerank
[open_ended/linear] Q070: 6.14s gen, 0.022s retrieval, 0.034s rerank
[open_ended/linear] Q071: 11.17s gen, 0.026s retrieval, 0.040s rerank
[open_ended/linear] Q072: 11.45s gen, 0.018s retrieval, 0.042s rerank
[open_ended/linear] Q073: 12.81s gen, 0.024s retrieval, 0.103s rerank
[open_ended/linear] Q074: 4.70s gen, 0.022s retrieval, 0.033s rerank
[open_ended/linear] Q075: 5.82s gen, 0.016s retrieval, 0.018s rerank
[open_ended/linear] Q076: 7.56s gen, 0.016s retrieval, 0.019s rerank
[open_ended/linear] Q077: 3.59s gen, 0.018s retrieval, 0.017s rerank
[open_ended/linear] Q078: 5.18s gen, 0.022s retrieval, 0.012s rerank
[open_ended/linear] Q079: 6.36s gen, 0.017s retrieval, 0.015s rerank
[open_ended/linear] Q080: 7.83s gen, 0.020s retrieval, 0.022s rerank
[open_ended/linear] Q081: 0.00s gen, 0.014s retrieval, 0.073s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.25s gen, 0.016s retrieval, 0.029s rerank
[open_ended/linear] Q083: 8.10s gen, 0.022s retrieval, 0.023s rerank
[open_ended/linear] Q084: 7.73s gen, 0.023s retrieval, 0.039s rerank
[open_ended/linear] Q085: 8.38s gen, 0.027s retrieval, 0.029s rerank
[open_ended/linear] Q086: 7.37s gen, 0.021s retrieval, 0.029s rerank
[open_ended/linear] Q087: 8.56s gen, 0.018s retrieval, 0.026s rerank
[open_ended/linear] Q088: 6.82s gen, 0.020s retrieval, 0.132s rerank
[open_ended/linear] Q089: 6.26s gen, 0.019s retrieval, 0.020s rerank
[open_ended/linear] Q090: 7.24s gen, 0.026s retrieval, 0.032s rerank
[open_ended/linear] Q091: 6.66s gen, 0.021s retrieval, 0.023s rerank
[open_ended/linear] Q092: 8.25s gen, 0.018s retrieval, 0.023s rerank
[open_ended/linear] Q093: 10.16s gen, 0.023s retrieval, 0.047s rerank
[open_ended/linear] Q094: 5.92s gen, 0.017s retrieval, 0.036s rerank
[open_ended/linear] Q095: 5.08s gen, 0.016s retrieval, 0.019s rerank
[open_ended/linear] Q096: 4.78s gen, 0.018s retrieval, 0.016s rerank
[open_ended/linear] Q097: 8.83s gen, 0.018s retrieval, 0.018s rerank
[open_ended/linear] Q098: 6.96s gen, 0.020s retrieval, 0.030s rerank
[open_ended/linear] Q099: 8.09s gen, 0.017s retrieval, 0.028s rerank
[open_ended/linear] Q100: 6.84s gen, 0.021s retrieval, 0.043s rerank
[entity_heavy/rrf] Q101: 5.45s gen, 0.020s retrieval, 0.064s rerank
[entity_heavy/rrf] Q102: 4.56s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q103: 6.07s gen, 0.017s retrieval, 0.019s rerank
[entity_heavy/rrf] Q104: 5.20s gen, 0.018s retrieval, 0.032s rerank
[entity_heavy/rrf] Q105: 3.91s gen, 0.015s retrieval, 0.012s rerank
[entity_heavy/rrf] Q106: 4.61s gen, 0.019s retrieval, 0.018s rerank
[entity_heavy/rrf] Q107: 5.81s gen, 0.018s retrieval, 0.010s rerank
[entity_heavy/rrf] Q108: 4.42s gen, 0.012s retrieval, 0.029s rerank
[entity_heavy/rrf] Q109: 4.04s gen, 0.019s retrieval, 0.010s rerank
[entity_heavy/rrf] Q110: 4.62s gen, 0.015s retrieval, 0.010s rerank
[entity_heavy/rrf] Q111: 6.15s gen, 0.016s retrieval, 0.028s rerank
[entity_heavy/rrf] Q112: 4.83s gen, 0.016s retrieval, 0.033s rerank
[entity_heavy/rrf] Q113: 3.78s gen, 0.016s retrieval, 0.010s rerank
[entity_heavy/rrf] Q114: 4.60s gen, 0.017s retrieval, 0.022s rerank
[entity_heavy/rrf] Q115: 4.63s gen, 0.014s retrieval, 0.017s rerank
[entity_heavy/rrf] Q116: 4.84s gen, 0.014s retrieval, 0.025s rerank
[entity_heavy/rrf] Q117: 5.93s gen, 0.016s retrieval, 0.016s rerank
[entity_heavy/rrf] Q118: 4.41s gen, 0.019s retrieval, 0.030s rerank
[entity_heavy/rrf] Q119: 3.97s gen, 0.015s retrieval, 0.016s rerank
[entity_heavy/rrf] Q120: 4.68s gen, 0.015s retrieval, 0.013s rerank
[entity_heavy/rrf] Q121: 5.74s gen, 0.021s retrieval, 0.014s rerank
[entity_heavy/rrf] Q122: 4.92s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q123: 5.09s gen, 0.016s retrieval, 0.024s rerank
[entity_heavy/rrf] Q124: 8.12s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q125: 5.13s gen, 0.016s retrieval, 0.042s rerank
[entity_heavy/rrf] Q126: 4.45s gen, 0.015s retrieval, 0.027s rerank
[entity_heavy/rrf] Q127: 4.65s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q128: 4.10s gen, 0.014s retrieval, 0.017s rerank
[entity_heavy/rrf] Q129: 3.90s gen, 0.016s retrieval, 0.010s rerank
[entity_heavy/rrf] Q130: 5.04s gen, 0.014s retrieval, 0.009s rerank
[entity_heavy/rrf] Q131: 4.03s gen, 0.021s retrieval, 0.020s rerank
[entity_heavy/rrf] Q132: 4.04s gen, 0.016s retrieval, 0.014s rerank
[entity_heavy/rrf] Q133: 4.02s gen, 0.015s retrieval, 0.014s rerank
[entity_heavy/rrf] Q134: 3.96s gen, 0.016s retrieval, 0.013s rerank
[entity_heavy/rrf] Q135: 5.69s gen, 0.019s retrieval, 0.014s rerank
[entity_heavy/rrf] Q136: 4.14s gen, 0.015s retrieval, 0.023s rerank
[entity_heavy/rrf] Q137: 4.02s gen, 0.016s retrieval, 0.014s rerank
[entity_heavy/rrf] Q138: 4.70s gen, 0.016s retrieval, 0.010s rerank
[entity_heavy/rrf] Q139: 4.06s gen, 0.017s retrieval, 0.014s rerank
[entity_heavy/rrf] Q140: 4.89s gen, 0.014s retrieval, 0.014s rerank
[entity_heavy/rrf] Q141: 4.21s gen, 0.013s retrieval, 0.014s rerank
[entity_heavy/rrf] Q142: 5.50s gen, 0.016s retrieval, 0.014s rerank
[entity_heavy/rrf] Q143: 4.91s gen, 0.014s retrieval, 0.018s rerank
[entity_heavy/rrf] Q144: 7.52s gen, 0.016s retrieval, 0.017s rerank
[entity_heavy/rrf] Q145: 8.14s gen, 0.015s retrieval, 0.027s rerank
[entity_heavy/rrf] Q146: 5.60s gen, 0.013s retrieval, 0.032s rerank
[entity_heavy/rrf] Q147: 4.83s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q148: 3.90s gen, 0.016s retrieval, 0.019s rerank
[entity_heavy/rrf] Q149: 4.98s gen, 0.014s retrieval, 0.011s rerank
[entity_heavy/rrf] Q150: 4.91s gen, 0.022s retrieval, 0.016s rerank
[entity_heavy/rrf] Q151: 4.99s gen, 0.020s retrieval, 0.028s rerank
[entity_heavy/rrf] Q152: 4.87s gen, 0.019s retrieval, 0.027s rerank
[entity_heavy/rrf] Q153: 5.55s gen, 0.020s retrieval, 0.020s rerank
[entity_heavy/rrf] Q154: 5.48s gen, 0.019s retrieval, 0.026s rerank
[entity_heavy/rrf] Q155: 4.84s gen, 0.018s retrieval, 0.030s rerank
[entity_heavy/rrf] Q156: 4.93s gen, 0.019s retrieval, 0.016s rerank
[entity_heavy/rrf] Q157: 5.52s gen, 0.016s retrieval, 0.018s rerank
[entity_heavy/rrf] Q158: 4.81s gen, 0.019s retrieval, 0.013s rerank
[entity_heavy/rrf] Q159: 5.74s gen, 0.019s retrieval, 0.017s rerank
[entity_heavy/rrf] Q160: 4.91s gen, 0.017s retrieval, 0.032s rerank
[entity_heavy/rrf] Q161: 4.56s gen, 0.019s retrieval, 0.013s rerank
[entity_heavy/rrf] Q162: 4.87s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q163: 4.78s gen, 0.018s retrieval, 0.019s rerank
[entity_heavy/rrf] Q164: 4.91s gen, 0.016s retrieval, 0.026s rerank
[entity_heavy/rrf] Q165: 5.03s gen, 0.019s retrieval, 0.021s rerank
[entity_heavy/rrf] Q166: 5.19s gen, 0.019s retrieval, 0.033s rerank
[entity_heavy/rrf] Q167: 5.38s gen, 0.025s retrieval, 0.018s rerank
[entity_heavy/rrf] Q168: 5.49s gen, 0.017s retrieval, 0.040s rerank
[entity_heavy/rrf] Q169: 5.09s gen, 0.015s retrieval, 0.029s rerank
[entity_heavy/rrf] Q170: 5.09s gen, 0.021s retrieval, 0.038s rerank
[entity_heavy/rrf] Q171: 5.04s gen, 0.018s retrieval, 0.022s rerank
[entity_heavy/rrf] Q172: 4.98s gen, 0.018s retrieval, 0.037s rerank
[entity_heavy/rrf] Q173: 6.04s gen, 0.017s retrieval, 0.026s rerank
[entity_heavy/rrf] Q174: 5.14s gen, 0.023s retrieval, 0.032s rerank
[entity_heavy/rrf] Q175: 5.34s gen, 0.020s retrieval, 0.055s rerank
[entity_heavy/rrf] Q176: 4.96s gen, 0.023s retrieval, 0.033s rerank
[entity_heavy/rrf] Q177: 4.88s gen, 0.020s retrieval, 0.022s rerank
[entity_heavy/rrf] Q178: 5.50s gen, 0.020s retrieval, 0.029s rerank
[entity_heavy/rrf] Q179: 5.25s gen, 0.020s retrieval, 0.040s rerank
[entity_heavy/rrf] Q180: 5.35s gen, 0.018s retrieval, 0.022s rerank
[entity_heavy/rrf] Q181: 4.04s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q182: 5.23s gen, 0.021s retrieval, 0.012s rerank
[entity_heavy/rrf] Q183: 4.54s gen, 0.021s retrieval, 0.025s rerank
[entity_heavy/rrf] Q184: 5.23s gen, 0.017s retrieval, 0.016s rerank
[entity_heavy/rrf] Q185: 5.07s gen, 0.015s retrieval, 0.026s rerank
[entity_heavy/rrf] Q186: 3.66s gen, 0.015s retrieval, 0.015s rerank
[entity_heavy/rrf] Q187: 4.77s gen, 0.014s retrieval, 0.019s rerank
[entity_heavy/rrf] Q188: 4.51s gen, 0.023s retrieval, 0.015s rerank
[entity_heavy/rrf] Q189: 5.73s gen, 0.019s retrieval, 0.023s rerank
[entity_heavy/rrf] Q190: 5.39s gen, 0.017s retrieval, 0.022s rerank
[entity_heavy/rrf] Q191: 4.48s gen, 0.014s retrieval, 0.030s rerank
[entity_heavy/rrf] Q192: 4.33s gen, 0.014s retrieval, 0.012s rerank
[entity_heavy/rrf] Q193: 5.39s gen, 0.017s retrieval, 0.019s rerank
[entity_heavy/rrf] Q194: 4.31s gen, 0.014s retrieval, 0.029s rerank
[entity_heavy/rrf] Q195: 5.31s gen, 0.014s retrieval, 0.049s rerank
[entity_heavy/rrf] Q196: 4.74s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q197: 4.11s gen, 0.014s retrieval, 0.017s rerank
[entity_heavy/rrf] Q198: 5.20s gen, 0.016s retrieval, 0.022s rerank
[entity_heavy/rrf] Q199: 5.18s gen, 0.018s retrieval, 0.018s rerank
[entity_heavy/rrf] Q200: 4.61s gen, 0.015s retrieval, 0.026s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundL_reranker_v2_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundL_reranker_v2.csv (1 abstained)
