Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5233.10it/s]
Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]Loading weights: 100%|##########| 105/105 [00:00<00:00, 3437.71it/s]
[open_ended/linear] Q001: 11.77s gen, 0.115s retrieval, 0.016s rerank
[open_ended/linear] Q002: 6.46s gen, 0.048s retrieval, 0.122s rerank
[open_ended/linear] Q003: 11.70s gen, 0.035s retrieval, 0.036s rerank
[open_ended/linear] Q004: 5.37s gen, 0.045s retrieval, 0.038s rerank
[open_ended/linear] Q005: 15.99s gen, 0.031s retrieval, 0.018s rerank
[open_ended/linear] Q006: 21.09s gen, 0.026s retrieval, 0.027s rerank
[open_ended/linear] Q007: 12.31s gen, 0.044s retrieval, 0.032s rerank
[open_ended/linear] Q008: 6.12s gen, 0.040s retrieval, 0.047s rerank
[open_ended/linear] Q009: 7.94s gen, 0.023s retrieval, 0.016s rerank
[open_ended/linear] Q010: 6.12s gen, 0.034s retrieval, 0.019s rerank
[open_ended/linear] Q011: 9.63s gen, 0.038s retrieval, 0.014s rerank
[open_ended/linear] Q012: 5.75s gen, 0.034s retrieval, 0.017s rerank
[open_ended/linear] Q013: 6.51s gen, 0.038s retrieval, 0.022s rerank
[open_ended/linear] Q014: 10.72s gen, 0.042s retrieval, 0.040s rerank
[open_ended/linear] Q015: 5.23s gen, 0.029s retrieval, 0.039s rerank
[open_ended/linear] Q016: 11.73s gen, 0.032s retrieval, 0.030s rerank
[open_ended/linear] Q017: 14.43s gen, 0.028s retrieval, 0.045s rerank
[open_ended/linear] Q018: 14.71s gen, 0.048s retrieval, 0.035s rerank
[open_ended/linear] Q019: 6.42s gen, 0.026s retrieval, 0.011s rerank
[open_ended/linear] Q020: 8.54s gen, 0.025s retrieval, 0.013s rerank
[open_ended/linear] Q021: 12.52s gen, 0.023s retrieval, 0.012s rerank
[open_ended/linear] Q022: 8.71s gen, 0.032s retrieval, 0.034s rerank
[open_ended/linear] Q023: 9.91s gen, 0.049s retrieval, 0.043s rerank
[open_ended/linear] Q024: 12.69s gen, 0.042s retrieval, 0.064s rerank
[open_ended/linear] Q025: 20.54s gen, 0.031s retrieval, 0.025s rerank
[open_ended/linear] Q026: 6.88s gen, 0.030s retrieval, 0.060s rerank
[open_ended/linear] Q027: 11.85s gen, 0.034s retrieval, 0.019s rerank
[open_ended/linear] Q028: 5.83s gen, 0.022s retrieval, 0.032s rerank
[open_ended/linear] Q029: 15.14s gen, 0.031s retrieval, 0.012s rerank
[open_ended/linear] Q030: 11.18s gen, 0.035s retrieval, 0.066s rerank
[open_ended/linear] Q031: 27.62s gen, 0.045s retrieval, 0.020s rerank
[open_ended/linear] Q032: 4.37s gen, 0.023s retrieval, 0.091s rerank
[open_ended/linear] Q033: 13.93s gen, 0.026s retrieval, 0.013s rerank
[open_ended/linear] Q034: 10.63s gen, 0.036s retrieval, 0.066s rerank
[open_ended/linear] Q035: 7.00s gen, 0.024s retrieval, 0.035s rerank
[open_ended/linear] Q036: 4.45s gen, 0.028s retrieval, 0.024s rerank
[open_ended/linear] Q037: 11.06s gen, 0.024s retrieval, 0.011s rerank
[open_ended/linear] Q038: 9.36s gen, 0.025s retrieval, 0.020s rerank
[open_ended/linear] Q039: 6.88s gen, 0.027s retrieval, 0.023s rerank
[open_ended/linear] Q040: 8.90s gen, 0.033s retrieval, 0.047s rerank
[open_ended/linear] Q041: 13.73s gen, 0.033s retrieval, 0.034s rerank
[open_ended/linear] Q042: 9.80s gen, 0.034s retrieval, 0.043s rerank
[open_ended/linear] Q043: 9.66s gen, 0.031s retrieval, 0.019s rerank
[open_ended/linear] Q044: 8.27s gen, 0.040s retrieval, 0.023s rerank
[open_ended/linear] Q045: 9.74s gen, 0.017s retrieval, 0.011s rerank
[open_ended/linear] Q046: 7.10s gen, 0.022s retrieval, 0.015s rerank
[open_ended/linear] Q047: 15.25s gen, 0.038s retrieval, 0.042s rerank
[open_ended/linear] Q048: 23.30s gen, 0.036s retrieval, 0.129s rerank
[open_ended/linear] Q049: 10.59s gen, 0.048s retrieval, 0.030s rerank
[open_ended/linear] Q050: 12.25s gen, 0.049s retrieval, 0.047s rerank
[open_ended/linear] Q051: 10.14s gen, 0.033s retrieval, 0.052s rerank
[open_ended/linear] Q052: 5.93s gen, 0.051s retrieval, 0.059s rerank
[open_ended/linear] Q053: 4.07s gen, 0.039s retrieval, 0.029s rerank
[open_ended/linear] Q054: 11.55s gen, 0.024s retrieval, 0.012s rerank
[open_ended/linear] Q055: 7.00s gen, 0.031s retrieval, 0.022s rerank
[open_ended/linear] Q056: 10.01s gen, 0.034s retrieval, 0.030s rerank
[open_ended/linear] Q057: 7.17s gen, 0.026s retrieval, 0.024s rerank
[entity_heavy/rrf] Q058: 4.12s gen, 0.035s retrieval, 0.013s rerank
[open_ended/linear] Q059: 11.09s gen, 0.033s retrieval, 0.014s rerank
[open_ended/linear] Q060: 14.73s gen, 0.033s retrieval, 0.034s rerank
[open_ended/linear] Q061: 6.64s gen, 0.023s retrieval, 0.020s rerank
[open_ended/linear] Q062: 8.59s gen, 0.036s retrieval, 0.039s rerank
[open_ended/linear] Q063: 8.23s gen, 0.037s retrieval, 0.215s rerank
[open_ended/linear] Q064: 8.03s gen, 0.034s retrieval, 0.021s rerank
[open_ended/linear] Q065: 3.79s gen, 0.033s retrieval, 0.015s rerank
[open_ended/linear] Q066: 8.60s gen, 0.021s retrieval, 0.016s rerank
[open_ended/linear] Q067: 14.44s gen, 0.035s retrieval, 0.099s rerank
[open_ended/linear] Q068: 6.40s gen, 0.022s retrieval, 0.021s rerank
[open_ended/linear] Q069: 7.37s gen, 0.031s retrieval, 0.030s rerank
[open_ended/linear] Q070: 6.03s gen, 0.039s retrieval, 0.035s rerank
[open_ended/linear] Q071: 6.36s gen, 0.054s retrieval, 0.067s rerank
[open_ended/linear] Q072: 11.61s gen, 0.038s retrieval, 0.021s rerank
[open_ended/linear] Q073: 13.75s gen, 0.035s retrieval, 0.199s rerank
[open_ended/linear] Q074: 6.14s gen, 0.030s retrieval, 0.023s rerank
[open_ended/linear] Q075: 6.27s gen, 0.028s retrieval, 0.014s rerank
[open_ended/linear] Q076: 7.61s gen, 0.027s retrieval, 0.019s rerank
[open_ended/linear] Q077: 3.53s gen, 0.029s retrieval, 0.024s rerank
[open_ended/linear] Q078: 6.70s gen, 0.026s retrieval, 0.011s rerank
[open_ended/linear] Q079: 5.77s gen, 0.034s retrieval, 0.013s rerank
[open_ended/linear] Q080: 8.35s gen, 0.025s retrieval, 0.020s rerank
[open_ended/linear] Q081: 0.00s gen, 0.022s retrieval, 0.032s rerank [ABSTAINED]
[open_ended/linear] Q082: 8.73s gen, 0.033s retrieval, 0.051s rerank
[open_ended/linear] Q083: 8.38s gen, 0.033s retrieval, 0.033s rerank
[open_ended/linear] Q084: 7.66s gen, 0.037s retrieval, 0.069s rerank
[open_ended/linear] Q085: 9.15s gen, 0.039s retrieval, 0.044s rerank
[open_ended/linear] Q086: 7.38s gen, 0.030s retrieval, 0.077s rerank
[open_ended/linear] Q087: 8.91s gen, 0.039s retrieval, 0.029s rerank
[open_ended/linear] Q088: 6.15s gen, 0.033s retrieval, 0.054s rerank
[open_ended/linear] Q089: 6.16s gen, 0.030s retrieval, 0.023s rerank
[open_ended/linear] Q090: 7.28s gen, 0.042s retrieval, 0.040s rerank
