
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|##########| 103/103 [00:00<00:00, 4750.74it/s]
[full_hybrid] BQ001: 15.63s gen, 0.077s retrieval
[full_hybrid] BQ002: 3.87s gen, 0.023s retrieval
[full_hybrid] BQ003: 5.16s gen, 0.025s retrieval
[full_hybrid] BQ004: 3.64s gen, 0.026s retrieval
[full_hybrid] BQ005: 5.06s gen, 0.021s retrieval
[full_hybrid] BQ006: 12.05s gen, 0.020s retrieval
[full_hybrid] BQ007: 5.09s gen, 0.019s retrieval
[full_hybrid] BQ008: 3.74s gen, 0.022s retrieval
[full_hybrid] BQ009: 3.81s gen, 0.027s retrieval
[full_hybrid] BQ010: 4.43s gen, 0.021s retrieval
[full_hybrid] BQ011: 5.02s gen, 0.017s retrieval
[full_hybrid] BQ012: 11.44s gen, 0.022s retrieval
[full_hybrid] BQ013: 7.43s gen, 0.024s retrieval
[full_hybrid] BQ014: 7.48s gen, 0.015s retrieval
[full_hybrid] BQ015: 5.14s gen, 0.030s retrieval
[full_hybrid] BQ016: 5.44s gen, 0.015s retrieval
[full_hybrid] BQ017: 7.39s gen, 0.023s retrieval
[full_hybrid] BQ018: 4.12s gen, 0.024s retrieval
[full_hybrid] BQ019: 3.76s gen, 0.022s retrieval
[full_hybrid] BQ020: 5.14s gen, 0.019s retrieval
[full_hybrid] BQ021: 5.74s gen, 0.017s retrieval
[full_hybrid] BQ022: 5.99s gen, 0.042s retrieval
[full_hybrid] BQ023: 5.78s gen, 0.022s retrieval
[full_hybrid] BQ024: 4.56s gen, 0.023s retrieval
[full_hybrid] BQ025: 7.49s gen, 0.026s retrieval
[full_hybrid] BQ026: 7.33s gen, 0.023s retrieval
[full_hybrid] BQ027: 8.80s gen, 0.023s retrieval
[full_hybrid] BQ028: 4.13s gen, 0.019s retrieval
[full_hybrid] BQ029: 15.91s gen, 0.026s retrieval
[full_hybrid] BQ030: 4.58s gen, 0.024s retrieval
[full_hybrid] BQ031: 8.89s gen, 0.020s retrieval
[full_hybrid] BQ032: 3.95s gen, 0.016s retrieval
[full_hybrid] BQ033: 3.89s gen, 0.021s retrieval
[full_hybrid] BQ034: 8.46s gen, 0.021s retrieval
[full_hybrid] BQ035: 7.05s gen, 0.019s retrieval
[full_hybrid] BQ036: 5.11s gen, 0.020s retrieval
[full_hybrid] BQ037: 6.02s gen, 0.016s retrieval
[full_hybrid] BQ038: 4.93s gen, 0.038s retrieval
[full_hybrid] BQ039: 4.12s gen, 0.023s retrieval
[full_hybrid] BQ040: 8.31s gen, 0.029s retrieval
[full_hybrid] BQ041: 10.41s gen, 0.026s retrieval
[full_hybrid] BQ042: 4.52s gen, 0.022s retrieval
[full_hybrid] BQ043: 3.97s gen, 0.019s retrieval
[full_hybrid] BQ044: 7.18s gen, 0.033s retrieval
[full_hybrid] BQ045: 4.20s gen, 0.023s retrieval
[full_hybrid] BQ046: 13.78s gen, 0.021s retrieval
[full_hybrid] BQ047: 8.57s gen, 0.020s retrieval
[full_hybrid] BQ048: 8.23s gen, 0.024s retrieval
[full_hybrid] BQ049: 6.37s gen, 0.022s retrieval
[full_hybrid] BQ050: 6.18s gen, 0.017s retrieval
[full_hybrid] BQ051: 6.84s gen, 0.018s retrieval
[full_hybrid] BQ052: 5.15s gen, 0.017s retrieval
[full_hybrid] BQ053: 8.12s gen, 0.019s retrieval
[full_hybrid] BQ054: 11.28s gen, 0.025s retrieval
[full_hybrid] BQ055: 12.14s gen, 0.025s retrieval
[full_hybrid] BQ056: 5.82s gen, 0.025s retrieval
[full_hybrid] BQ057: 6.42s gen, 0.030s retrieval
[full_hybrid] BQ058: 4.02s gen, 0.023s retrieval
[full_hybrid] BQ059: 9.91s gen, 0.024s retrieval
[full_hybrid] BQ060: 14.73s gen, 0.031s retrieval
[full_hybrid] BQ061: 5.89s gen, 0.027s retrieval
[full_hybrid] BQ062: 7.94s gen, 0.021s retrieval
[full_hybrid] BQ063: 6.17s gen, 0.017s retrieval
[full_hybrid] BQ064: 5.57s gen, 0.018s retrieval
[full_hybrid] BQ065: 11.33s gen, 0.024s retrieval
[full_hybrid] BQ066: 9.89s gen, 0.027s retrieval
[full_hybrid] BQ067: 12.76s gen, 0.018s retrieval
[full_hybrid] BQ068: 4.76s gen, 0.027s retrieval
[full_hybrid] BQ069: 8.15s gen, 0.016s retrieval
[full_hybrid] BQ070: 17.24s gen, 0.029s retrieval
[full_hybrid] BQ071: 9.04s gen, 0.027s retrieval
[full_hybrid] BQ072: 7.43s gen, 0.017s retrieval
[full_hybrid] BQ073: 10.38s gen, 0.020s retrieval
[full_hybrid] BQ074: 5.74s gen, 0.023s retrieval
[full_hybrid] BQ075: 6.91s gen, 0.020s retrieval
[full_hybrid] BQ076: 7.73s gen, 0.021s retrieval
[full_hybrid] BQ077: 8.29s gen, 0.022s retrieval
[full_hybrid] BQ078: 6.02s gen, 0.026s retrieval
[full_hybrid] BQ079: 6.24s gen, 0.019s retrieval
[full_hybrid] BQ080: 7.80s gen, 0.022s retrieval
[full_hybrid] BQ081: 6.21s gen, 0.023s retrieval
[full_hybrid] BQ082: 8.63s gen, 0.026s retrieval
[full_hybrid] BQ083: 3.61s gen, 0.021s retrieval
[full_hybrid] BQ084: 6.73s gen, 0.015s retrieval
[full_hybrid] BQ085: 7.77s gen, 0.023s retrieval
[full_hybrid] BQ086: 4.06s gen, 0.019s retrieval
[full_hybrid] BQ087: 8.03s gen, 0.030s retrieval
[full_hybrid] BQ088: 10.00s gen, 0.020s retrieval
[full_hybrid] BQ089: 13.82s gen, 0.026s retrieval
[full_hybrid] BQ090: 9.62s gen, 0.030s retrieval
[full_hybrid] BQ091: 9.19s gen, 0.018s retrieval
[full_hybrid] BQ092: 5.98s gen, 0.024s retrieval
[full_hybrid] BQ093: 11.22s gen, 0.017s retrieval
[full_hybrid] BQ094: 5.37s gen, 0.024s retrieval
[full_hybrid] BQ095: 5.45s gen, 0.021s retrieval
[full_hybrid] BQ096: 6.89s gen, 0.025s retrieval
[full_hybrid] BQ097: 6.54s gen, 0.038s retrieval
[full_hybrid] BQ098: 10.04s gen, 0.030s retrieval
[full_hybrid] BQ099: 6.09s gen, 0.024s retrieval
[full_hybrid] BQ100: 6.88s gen, 0.028s retrieval
[bm25_only] BQ001: 8.48s gen, 0.024s retrieval
[bm25_only] BQ002: 4.33s gen, 0.025s retrieval
[bm25_only] BQ003: 5.18s gen, 0.026s retrieval
[bm25_only] BQ004: 3.63s gen, 0.015s retrieval
[bm25_only] BQ005: 5.03s gen, 0.020s retrieval
[bm25_only] BQ006: 11.85s gen, 0.022s retrieval
[bm25_only] BQ007: 5.09s gen, 0.015s retrieval
[bm25_only] BQ008: 3.67s gen, 0.021s retrieval
[bm25_only] BQ009: 3.82s gen, 0.021s retrieval
[bm25_only] BQ010: 4.46s gen, 0.022s retrieval
[bm25_only] BQ011: 5.00s gen, 0.018s retrieval
[bm25_only] BQ012: 10.71s gen, 0.023s retrieval
[bm25_only] BQ013: 9.20s gen, 0.024s retrieval
[bm25_only] BQ014: 8.41s gen, 0.016s retrieval
[bm25_only] BQ015: 5.05s gen, 0.021s retrieval
[bm25_only] BQ016: 5.46s gen, 0.015s retrieval
[bm25_only] BQ017: 7.47s gen, 0.020s retrieval
[bm25_only] BQ018: 4.02s gen, 0.022s retrieval
[bm25_only] BQ019: 3.78s gen, 0.025s retrieval
[bm25_only] BQ020: 5.13s gen, 0.020s retrieval
[bm25_only] BQ021: 4.96s gen, 0.018s retrieval
[bm25_only] BQ022: 5.89s gen, 0.029s retrieval
[bm25_only] BQ023: 5.60s gen, 0.021s retrieval
[bm25_only] BQ024: 4.53s gen, 0.021s retrieval
[bm25_only] BQ025: 7.33s gen, 0.027s retrieval
[bm25_only] BQ026: 7.09s gen, 0.024s retrieval
[bm25_only] BQ027: 8.77s gen, 0.031s retrieval
[bm25_only] BQ028: 4.01s gen, 0.017s retrieval
[bm25_only] BQ029: 15.69s gen, 0.021s retrieval
[bm25_only] BQ030: 4.76s gen, 0.032s retrieval
[bm25_only] BQ031: 8.91s gen, 0.023s retrieval
[bm25_only] BQ032: 3.69s gen, 0.020s retrieval
[bm25_only] BQ033: 4.92s gen, 0.019s retrieval
[bm25_only] BQ034: 8.49s gen, 0.019s retrieval
[bm25_only] BQ035: 7.03s gen, 0.019s retrieval
[bm25_only] BQ036: 5.02s gen, 0.019s retrieval
[bm25_only] BQ037: 6.01s gen, 0.016s retrieval
[bm25_only] BQ038: 4.93s gen, 0.027s retrieval
[bm25_only] BQ039: 4.11s gen, 0.022s retrieval
[bm25_only] BQ040: 8.23s gen, 0.031s retrieval
[bm25_only] BQ041: 9.11s gen, 0.025s retrieval
[bm25_only] BQ042: 4.66s gen, 0.022s retrieval
[bm25_only] BQ043: 3.83s gen, 0.019s retrieval
[bm25_only] BQ044: 7.14s gen, 0.027s retrieval
[bm25_only] BQ045: 4.43s gen, 0.023s retrieval
[bm25_only] BQ046: 8.89s gen, 0.029s retrieval
[bm25_only] BQ047: 8.75s gen, 0.021s retrieval
[bm25_only] BQ048: 8.25s gen, 0.021s retrieval
[bm25_only] BQ049: 6.34s gen, 0.020s retrieval
[bm25_only] BQ050: 5.42s gen, 0.014s retrieval
[bm25_only] BQ051: 6.77s gen, 0.019s retrieval
[bm25_only] BQ052: 5.06s gen, 0.017s retrieval
[bm25_only] BQ053: 8.14s gen, 0.023s retrieval
[bm25_only] BQ054: 11.24s gen, 0.021s retrieval
[bm25_only] BQ055: 11.99s gen, 0.025s retrieval
[bm25_only] BQ056: 6.09s gen, 0.025s retrieval
[bm25_only] BQ057: 6.37s gen, 0.029s retrieval
[bm25_only] BQ058: 4.08s gen, 0.026s retrieval
[bm25_only] BQ059: 9.81s gen, 0.031s retrieval
[bm25_only] BQ060: 14.46s gen, 0.031s retrieval
[bm25_only] BQ061: 5.89s gen, 0.020s retrieval
[bm25_only] BQ062: 7.98s gen, 0.026s retrieval
[bm25_only] BQ063: 6.20s gen, 0.016s retrieval
[bm25_only] BQ064: 5.66s gen, 0.018s retrieval
[bm25_only] BQ065: 11.61s gen, 0.026s retrieval
[bm25_only] BQ066: 9.87s gen, 0.025s retrieval
[bm25_only] BQ067: 12.65s gen, 0.018s retrieval
[bm25_only] BQ068: 4.84s gen, 0.020s retrieval
[bm25_only] BQ069: 8.21s gen, 0.019s retrieval
[bm25_only] BQ070: 17.43s gen, 0.022s retrieval
[bm25_only] BQ071: 8.95s gen, 0.027s retrieval
[bm25_only] BQ072: 6.85s gen, 0.020s retrieval
[bm25_only] BQ073: 10.43s gen, 0.023s retrieval
[bm25_only] BQ074: 5.63s gen, 0.024s retrieval
[bm25_only] BQ075: 6.91s gen, 0.018s retrieval
[bm25_only] BQ076: 7.53s gen, 0.020s retrieval
[bm25_only] BQ077: 8.88s gen, 0.021s retrieval
[bm25_only] BQ078: 6.11s gen, 0.027s retrieval
[bm25_only] BQ079: 6.23s gen, 0.019s retrieval
[bm25_only] BQ080: 7.79s gen, 0.019s retrieval
[bm25_only] BQ081: 6.20s gen, 0.022s retrieval
[bm25_only] BQ082: 5.45s gen, 0.025s retrieval
[bm25_only] BQ083: 3.60s gen, 0.020s retrieval
[bm25_only] BQ084: 6.78s gen, 0.016s retrieval
[bm25_only] BQ085: 7.85s gen, 0.025s retrieval
[bm25_only] BQ086: 4.16s gen, 0.021s retrieval
[bm25_only] BQ087: 8.03s gen, 0.026s retrieval
[bm25_only] BQ088: 13.04s gen, 0.020s retrieval
[bm25_only] BQ089: 15.57s gen, 0.022s retrieval
[bm25_only] BQ090: 9.10s gen, 0.022s retrieval
[bm25_only] BQ091: 9.95s gen, 0.023s retrieval
[bm25_only] BQ092: 5.92s gen, 0.023s retrieval
[bm25_only] BQ093: 10.88s gen, 0.021s retrieval
[bm25_only] BQ094: 5.06s gen, 0.019s retrieval
[bm25_only] BQ095: 5.35s gen, 0.019s retrieval
[bm25_only] BQ096: 6.66s gen, 0.031s retrieval
[bm25_only] BQ097: 6.43s gen, 0.032s retrieval
[bm25_only] BQ098: 11.35s gen, 0.023s retrieval
[bm25_only] BQ099: 6.03s gen, 0.020s retrieval
[bm25_only] BQ100: 6.74s gen, 0.028s retrieval
[vector_only] BQ001: 8.33s gen, 0.020s retrieval
[vector_only] BQ002: 3.78s gen, 0.028s retrieval
[vector_only] BQ003: 5.03s gen, 0.025s retrieval
[vector_only] BQ004: 3.61s gen, 0.017s retrieval
[vector_only] BQ005: 5.01s gen, 0.023s retrieval
[vector_only] BQ006: 13.71s gen, 0.018s retrieval
[vector_only] BQ007: 5.24s gen, 0.014s retrieval
[vector_only] BQ008: 3.68s gen, 0.018s retrieval
[vector_only] BQ009: 3.81s gen, 0.026s retrieval
[vector_only] BQ010: 4.24s gen, 0.022s retrieval
[vector_only] BQ011: 6.64s gen, 0.017s retrieval
[vector_only] BQ012: 10.84s gen, 0.029s retrieval
[vector_only] BQ013: 7.43s gen, 0.024s retrieval
[vector_only] BQ014: 7.45s gen, 0.016s retrieval
[vector_only] BQ015: 5.11s gen, 0.020s retrieval
[vector_only] BQ016: 3.82s gen, 0.016s retrieval
[vector_only] BQ017: 7.43s gen, 0.020s retrieval
[vector_only] BQ018: 4.04s gen, 0.019s retrieval
[vector_only] BQ019: 3.80s gen, 0.025s retrieval
[vector_only] BQ020: 5.11s gen, 0.019s retrieval
[vector_only] BQ021: 5.02s gen, 0.019s retrieval
[vector_only] BQ022: 5.91s gen, 0.023s retrieval
[vector_only] BQ023: 5.78s gen, 0.023s retrieval
[vector_only] BQ024: 4.57s gen, 0.024s retrieval
