config,metric,mean,p50,p95,p99,max,n
adaptive_novel,retrieval_s,0.0229615,0.02005,0.0286,0.034904,0.4909,200
adaptive_novel,generation_s,6.070355000000001,5.239750000000001,10.264819999999991,17.112635999999977,23.3906,200
adaptive_novel,total_s,6.093470999999999,5.2589,10.301224999999986,17.13811699999998,23.4135,200
full_hybrid,retrieval_s,0.0219815,0.02,0.0293,0.035602999999999996,0.333,200
full_hybrid,generation_s,6.062966,5.10325,11.205055,17.22356299999999,19.5455,200
full_hybrid,total_s,6.0849495000000005,5.12415,11.246854999999998,17.252927999999994,19.5688,200
bm25_only,retrieval_s,0.0207415,0.020249999999999997,0.028909999999999995,0.03550699999999999,0.0394,200
bm25_only,generation_s,6.211999500000001,5.1918,11.449639999999999,18.722767999999988,21.9868,200
bm25_only,total_s,6.2327414999999995,5.2113,11.472039999999998,18.750553999999994,22.0116,200
vector_only,retrieval_s,0.0198775,0.0194,0.028019999999999993,0.03292899999999997,0.0373,200
vector_only,generation_s,6.030758499999999,4.94875,11.048154999999989,17.927384999999987,22.6062,200
vector_only,total_s,6.050636,4.9671,11.06857499999999,17.957167999999985,22.626,200
no_retrieval,retrieval_s,0.0,0.0,0.0,0.0,0.0,200
no_retrieval,generation_s,9.7050085,9.0685,17.24365,19.187274999999993,22.2623,200
no_retrieval,total_s,9.7050085,9.0685,17.24365,19.187274999999993,22.2623,200
